Substance name,EC/List no.,CAS no.,BAS number,Product-type,Review Programme flag,New active substance flag,Annex I substance flag,Inclusion Category,Approval start date,Approval end date,Evaluating competent authority,Approval status,Assessment status,Assessment sub-status,Legal act,Link to legal act,R4BP asset number,Candidate for substitution,Factsheet URL,Related authorised biocidal products,RML ID,Substance information page
(ethylenedioxy)dimethanol (Reaction products of ethylene glycol with paraformaldehyde (EGForm)),222-720-6,3586-55-8,1374,PT02-Disinfectants and algaecides not intended for direct application to humans or animals,true,false,false,0,,,Poland,No longer supported,,,Decision (EU) 2020/1036 ,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32020D1036,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1374/PT02,0,100.020.655,https://echa.europa.eu/substance-information/-/substanceinfo/100.020.655
(ethylenedioxy)dimethanol (Reaction products of ethylene glycol with paraformaldehyde (EGForm)),222-720-6,3586-55-8,1374,PT06-Preservatives for products during storage,true,false,false,0,,,Poland,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1374/PT06,0,100.020.655,https://echa.europa.eu/substance-information/-/substanceinfo/100.020.655
(ethylenedioxy)dimethanol (Reaction products of ethylene glycol with paraformaldehyde (EGForm)),222-720-6,3586-55-8,1374,PT11-Preservatives for liquid-cooling and processing systems,true,false,false,0,,,Poland,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1374/PT11,0,100.020.655,https://echa.europa.eu/substance-information/-/substanceinfo/100.020.655
(ethylenedioxy)dimethanol (Reaction products of ethylene glycol with paraformaldehyde (EGForm)),222-720-6,3586-55-8,1374,PT12-Slimicides,true,false,false,0,,,Poland,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1374/PT12,0,100.020.655,https://echa.europa.eu/substance-information/-/substanceinfo/100.020.655
(ethylenedioxy)dimethanol (Reaction products of ethylene glycol with paraformaldehyde (EGForm)),222-720-6,3586-55-8,1374,PT13-Working or cutting fluid preservatives,true,false,false,0,,,Poland,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1374/PT13,0,100.020.655,https://echa.europa.eu/substance-information/-/substanceinfo/100.020.655
"(RS)-3-Allyl-2-methyl-4-oxocyclopent-2- enyl (1R,3R)-2,2-dimethyl-3-(2-methyl- prop-1-enyl)-cyclopropanecarboxylate (mixture of 2 isomers 1R trans: 1R/S only 1:3) (Esbiothrin)",807-421-6,260359-57-7,1301,"PT18-Insecticides, acaricides and products to control other arthropods",true,false,false,0,,,Germany,Not approved,,,Decision (EU) 2021/98,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021D0098,-,Yes,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1301/PT18,0,100.235.064,https://echa.europa.eu/substance-information/-/substanceinfo/100.235.064
"(RS)-3-Allyl-2-methyl-4-oxocyclopent-2- enyl-(1R,3R;1R,3S)-2,2-dimethyl-3-(2- methylprop-1-enyl)-cyclopropanecarboxy- late (mixture of 4 isomers 1R trans, 1R:1R trans, 1S: 1R cis, 1R: 1R cis,1S 4:4:1:1) (d-Allethrin)",687-634-7,231937-89-6,1237,"PT18-Insecticides, acaricides and products to control other arthropods",true,false,false,0,,,Germany,Not approved,,,COMMISSION IMPLEMENTING DECISION (EU) 2023/470,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023D0470,-,Yes,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1237/PT18,0,100.213.665,https://echa.europa.eu/substance-information/-/substanceinfo/100.213.665
"(RS)-α-cyano-3phenoxybenzyl-(1RS)-cis, trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate (Cypermethrin)",257-842-9,52315-07-8,1283,PT08-Wood preservatives,true,false,false,0,01/06/2015,30/11/2027,Belgium,Approved,,,Decision (EU) 2025/362,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32025D0362,EU-0005427-0000,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1283/PT08,79,100.052.567,https://echa.europa.eu/substance-information/-/substanceinfo/100.052.567
"(RS)-α-cyano-3phenoxybenzyl-(1RS)-cis, trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate (Cypermethrin)",257-842-9,52315-07-8,1283,"PT18-Insecticides, acaricides and products to control other arthropods",true,false,false,0,01/06/2020,31/05/2030,Belgium,Approved,,,Reg(EU) 2018/1130,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32018R1130,EU-0017395-0000,No,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1283/PT18,137,100.052.567,https://echa.europa.eu/substance-information/-/substanceinfo/100.052.567
"1,2-benzisothiazol-3(2H)-one (BIT)",220-120-9,2634-33-5,1218,PT02-Disinfectants and algaecides not intended for direct application to humans or animals,true,false,false,0,,,Spain,No longer supported,,,Commission Implementing Decision (EU) 2025/1262,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32025D1262,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1218/PT02,0,100.018.292,https://echa.europa.eu/substance-information/-/substanceinfo/100.018.292
