Substance name,Description,EC / List no,CAS no,Value,Date of inclusion in the POPs Regulation,POPs Regulation History,POPs Regulation Annex,First published
beta-hexabromocyclododecane,,603-802-4,134237-51-7,Yes,01-Mar-2016,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2016.055.01.0004.01.ENG&toc=OJ:L:2016:055:TOC"">Commission Regulation (EU) 2016/293 of 1 March 2016 amending Regulation (EC) No 850/2004 as regards as annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2016.080.01.0017.01.ENG&toc=OJ:L:2016:080:TOC"">Commission Regulation (EU) 2016/460 of 30 March 2016 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2024/2555/oj"">Commission Delegated Regulation (EU) 2024/2555 of 21 March 2024 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards hexabromocyclododecane</a>","Annex I, part A#Annex IV",12-Nov-2020
alpha-hexabromocyclododecane,,603-801-9,134237-50-6,Yes,01-Mar-2016,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2016.055.01.0004.01.ENG&toc=OJ:L:2016:055:TOC"">Commission Regulation (EU) 2016/293 of 1 March 2016 amending Regulation (EC) No 850/2004 as regards as annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2016.080.01.0017.01.ENG&toc=OJ:L:2016:080:TOC"">Commission Regulation (EU) 2016/460 of 30 March 2016 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2024/2555/oj"">Commission Delegated Regulation (EU) 2024/2555 of 21 March 2024 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards hexabromocyclododecane</a>","Annex I, part A#Annex IV",12-Nov-2020
Hexabromodiphenyl ether (group),,-,-,Yes,24-Aug-2010,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.223.01.0029.01.ENG&toc=OJ:L:2010:223:TOC"">Regulation (EU) No 757/2010 of 24 August 2010 amending Regulation (EC) No 850/2004 as regards as Annexes I and III</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex IV",12-Nov-2020
"Diphenyl ether, hexabromo derivative",,253-058-6,36483-60-0,Yes,24-Aug-2010,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.223.01.0029.01.ENG&toc=OJ:L:2010:223:TOC"">Regulation (EU) No 757/2010 of 24 August 2010 amending Regulation (EC) No 850/2004 as regards as Annexes I and III</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex IV",12-Nov-2020
"1,2,3-tribromo-4-(2,4,5-tribromophenoxy)benzene",,621-550-3,182677-30-1,Yes,24-Aug-2010,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.223.01.0029.01.ENG&toc=OJ:L:2010:223:TOC"">Regulation (EU) No 757/2010 of 24 August 2010 amending Regulation (EC) No 850/2004 as regards as Annexes I and III</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex IV",12-Nov-2020
"Hexachlorocyclohexanes, including lindane",,-,-,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.217.01.0001.01.ENG&toc=OJ:L:2006:217:TOC"">Council Regulation (EC) No 1195/2006 of 18 July 2006 amending Annex IV to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.223.01.0029.01.ENG&toc=OJ:L:2010:223:TOC"">Regulation (EU) No 757/2010 of 24 August 2010 amending Regulation (EC) No 850/2004 as regards as Annexes I and III</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex IV",12-Nov-2020
"(1α,2α,3β,4α,5β,6β)-1,2,3,4,5,6-hexachlorocyclohexane",,206-270-8,319-84-6,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.217.01.0001.01.ENG&toc=OJ:L:2006:217:TOC"">Council Regulation (EC) No 1195/2006 of 18 July 2006 amending Annex IV to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.223.01.0029.01.ENG&toc=OJ:L:2010:223:TOC"">Regulation (EU) No 757/2010 of 24 August 2010 amending Regulation (EC) No 850/2004 as regards as Annexes I and III</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex IV",12-Nov-2020
γ-HCH or γ-BHC,,200-401-2,58-89-9,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.217.01.0001.01.ENG&toc=OJ:L:2006:217:TOC"">Council Regulation (EC) No 1195/2006 of 18 July 2006 amending Annex IV to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.223.01.0029.01.ENG&toc=OJ:L:2010:223:TOC"">Regulation (EU) No 757/2010 of 24 August 2010 amending Regulation (EC) No 850/2004 as regards as Annexes I and III</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex IV",12-Nov-2020
BHC or HCH,,210-168-9,608-73-1,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.217.01.0001.01.ENG&toc=OJ:L:2006:217:TOC"">Council Regulation (EC) No 1195/2006 of 18 July 2006 amending Annex IV to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.223.01.0029.01.ENG&toc=OJ:L:2010:223:TOC"">Regulation (EU) No 757/2010 of 24 August 2010 amending Regulation (EC) No 850/2004 as regards as Annexes I and III</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex IV",12-Nov-2020
"(1α,2β,3α,4β,5α,6β)-1,2,3,4,5,6-hexachlorocyclohexane",,206-271-3,319-85-7,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.217.01.0001.01.ENG&toc=OJ:L:2006:217:TOC"">Council Regulation (EC) No 1195/2006 of 18 July 2006 amending Annex IV to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.223.01.0029.01.ENG&toc=OJ:L:2010:223:TOC"">Regulation (EU) No 757/2010 of 24 August 2010 amending Regulation (EC) No 850/2004 as regards as Annexes I and III</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex IV",12-Nov-2020
