Substance name,Description,EC / List no,CAS no,Value,Date of inclusion in the POPs Regulation,POPs Regulation History,POPs Regulation Annex,First published
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-henicosafluorododecyl acrylate",,241-732-2,17741-60-5,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
1-bromohenicosafluorodecane,,206-201-1,307-43-7,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-pentacosafluoro-12-iodododecane",,206-205-3,307-60-8,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
Nonacosafluoro-1-iodotetradecane,,206-207-4,307-63-1,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
Pentadecafluorooctyl fluoride,,206-396-3,335-66-0,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
Pentadecafluorooctanoic acid,,206-397-9,335-67-1,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
Silver(1+) perfluorooctanoate,,206-402-4,335-93-3,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
Sodium pentadecafluorooctanoate,,206-404-5,335-95-5,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
Methyl perfluorooctanoate,,206-808-1,376-27-2,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
Henicosafluoro-10-iododecane,,207-030-5,423-62-1,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Bis[3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-henicosafluorododecyl] hydrogen phosphate",,217-585-5,1895-26-7,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl methacrylate",,217-877-2,1996-88-9,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-10-iododecane",,218-053-5,2043-53-0,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-henicosafluoro-12-iodododecane",,218-054-0,2043-54-1,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-henicosafluorododecyl methacrylate",,218-408-4,2144-54-9,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
Heptadecafluoro-1-iodooctane,,208-079-5,507-63-1,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
Nonadecafluoro-9-iodononane,,209-199-0,558-97-4,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
Icosafluoro-10-iodo-2-(trifluoromethyl)decane,,211-645-4,677-93-0,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecan-1-ol",,211-648-0,678-39-7,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Bis(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl) hydrogen phosphate",,211-649-6,678-41-1,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
