NO,CAS No.,Value,Chemical Name,KE No.,Toxic substances,Substances requiring preparation for accidents,Restricted substances,Prohibited substances,Permitted substances,Substances subject to intensive control,Persistent pollutants,Percentage & Regulatory Information,Legacy_yn
10566,816-73-9,YES,2-Methylallyl isobutyrate,KE-23418,,,,,,,,,
10567,627-37-2,YES,N-Methylallylamine,KE-23417,,,,,,,,,
10568,820-71-3,YES,2-Methylallyl acetate,KE-23416,,,,,,,,,
10569,,YES,"ω-[N-Methyl(or H)-N-(alkyloyl)(or alkenoyl, C=4-24))]sulfate (Na, K, Ca salt)",KE-23415,,,,,,,,,
10570,,YES,"ω-(N-Methyl (or H)-N-alkyloyl(or alkenoyl, C=6-24))-aminoalkyl(C=1-6) sulfonic acid (Na, K, Ca salt)",KE-23414,,,,,,,,,
10571,3058-01-3,YES,3-Methyladipic acid,KE-23413,,,,,,,,,
10572,,YES,2-Methylacrylic acid exo-trimethylbicyclo[2.2.1]hept-2-yl ester polymer with alkyl(C=6-18) methacrylate and alkyl(C=2-9) acrylate,KE-23412,,,,,,,,,
10573,,YES,2-Methacrylic acid telomer with alkane(C=6-24)thiol and alkyl(C=1-6) methacrylate,KE-23411,,,,,,,,,
10574,110152-62-0,YES,"Methyl acrylate polymer with 2-propenenitrile, ammonium salt",KE-23410,,,,,,,,,
10575,69570-39-4,YES,2(S)-Methyl-3-acetylthiopropionyl chloride,KE-23409,,,,,,,,,
10576,3897-04-9,YES,Methyl 2-acetylpent-4-en-1-oate,KE-23408,,,,,,,,,
10577,85392-47-8,YES,Methyl 2-acetyl-4-oxovalerate,KE-23407,,,,,,,,,
10578,20306-75-6,YES,N-Methylacetoacetamide,KE-23406,,,,,,,,,
10579,79-20-9,YES,Methyl acetate; Acetic acid methyl ester,KE-23405,,,,,,,,,
10580,579-10-2,YES,N-Methylacetanilide; N-Methyl-N-phenylacetamide,KE-23404,,,,,,,,,
10581,103-89-9,YES,4'-Methylacetanilide,KE-23403,,,,,,,,,
10582,79-16-3,YES,N-Methylacetamide,KE-23402,,,,,,별표-42,,,
10583,56-54-2,YES,"6-Methoxy-α-(5-vinyl-2-quinuclidinyl)-4-quinolinemethanol; (9S)-6'-Methoxycinchonan-9-ol, Quinidine",KE-23401,,,,,,,,,
10584,1730-48-9,YES,"6-Methoxy-1,2,3,4-tetrahydronaphthalene",KE-23400,,,,,,,,,
10585,2237-36-7,YES,4-Methoxysalicylic acid,KE-23398,,,,,,,,,
10586,2785-87-7,YES,2-Methoxy-4-propylphenol,KE-23397,,,,,,,,,
10587,133622-67-0,YES,trans-1-[(3-Methoxypropyl)cyclohexyl]-4-fluorobenzene,KE-23396,,,,,,,,,
10588,97398-80-6,YES,"trans(trans)-4-Methoxy-4'-n-propyl-1,1'-bicyclohexyl",KE-23395,,,,,,,,,
10589,,YES,1-[(N-Methoxypropyl)amino]naphthalene,KE-23394,,,,,,,,,
10590,5332-73-0,YES,3-Methoxypropylamine; γ-Methoxypropylamine,KE-23393,,,,,,,,,
10591,70657-70-4,YES,2-Methoxypropyl acetate; 2-Methoxy-1-propyl acetate,KE-23392,,,,,,,,,
10592,68039-31-6,YES,3-[2-(2-Methoxypropoxy)propoxy]-1-propene,KE-23391,,,,,,,,,
10593,10213-77-1,YES,2-[2-(2-Methoxypropoxy)propoxy]-1-propanol,KE-23390,,,,,,,,,
10594,112-28-7,YES,3-(3-Methoxypropoxy)propanol,KE-23389,,,,,,,,,
10595,93-29-8,YES,2-Methoxy-4-propenylphenyl acetate,KE-23388,,,,,,,,,
10596,,YES,o-Methoxy-p-propenylphenol alkyl(C=2-6) ether,KE-23387,,,,,,,,,
10597,,YES,"2-Methoxy-5(or 4)-(2-propenyl)phenol, acetate",KE-23386,,,,,,,,,
10598,97-53-0,YES,"2-Methoxy-4-(2-propenyl)phenol; Eugenol, 4-Allyl-2-methoxyphenol, 4-Allyguaiacol",KE-23385,,,,,,,,,
10599,97-54-1,YES,"2-Methoxy-4-(1-propenyl)phenol; 4-Hydroxy-3-methoxy-1-propenylbenzene, Isoeugenol",KE-23384,,,,,,,,,
10600,140-67-0,YES,"1-Methoxy-4-(2-propenyl)benzene; 4-Allylanisole, Estragole",KE-23383,,,,,,,,,
10601,104-46-1,YES,"1-Methoxy-4-(1-propenyl)benzene; Anethol, p-Propenyanisole",KE-23382,,,,,,,,,
10602,627-40-7,YES,3-Methoxypropene,KE-23381,,,,,,,,,
10603,5878-19-3,YES,1-Methoxy-2-propanone; Methoxyacetone,KE-23380,,,,,,,,,
10604,107-98-2,YES,Propylene glycol methyl ether,KE-23379,,,,,,,,,
10605,1589-47-5,YES,2-Methoxypropanol,KE-23378,,,,,,,,,
10606,1320-67-8,YES,Methoxypropanol,KE-23377,,,,,,,,,
10607,3852-09-3,YES,3-Methoxypropanoic acid methyl ester,KE-23376,,,,,,,,,
10608,623-39-2,YES,"3-Methoxypropane-1,2-diol",KE-23375,,,,,,,,,
10609,116903-47-0,YES,1-(4-Methoxyphenyl)-2-[4-(trans-4-n-propylcyclohexyl)phenyl]ethyne,KE-23374,,,,,,,,,
10610,,YES,3-(2-Methoxy(or phenylmethoxy)ethoxy)alkyl (C=3-6)amine,KE-23373,,,,,,,,,
10611,160573-81-9,YES,3-Methoxy-2-phenyl-8-(2-propenyl)-4H-1-benzopyran-4-one,KE-23372,,,,,,,,,
10612,5466-77-3,YES,3-(4-Methoxyphenyl)-2-propenoic acid 2-ethylhexyl ester,KE-23371,,,,,,,,,
10613,,YES,Methoxyphenylpropanal,KE-23370,,,,,,,,,
10614,92-15-9,YES,N-(2-Methoxyphenyl)-3-oxo-butanamide; o-Acetoacetanisidide,KE-23369,,,,,,,,,
10615,57301-22-1,YES,4-[[2-Methoxy-5-[(phenylmethyl)sulfonyl]phenyl]azo]-3-hydroxy-N-phenyl-2-naphthalenecarboxamide,KE-23368,,,,,,,,,
10616,70653-29-1,YES,[(4-Methoxyphenyl)methyl]hydrogen[4-[(tetrahydro-2H-pyran-2-yl)oxy]phenyl]malonate,KE-23367,,,,,,,,,
10617,17392-68-6,YES,N-(2-Methoxyphenyl)maleimide,KE-23366,,,,,,,,,
10618,39969-26-1,YES,1-[(4-Methoxyphenyl)ethynyl]-4-propylbenzene,KE-23365,,,,,,,,,
10619,63221-88-5,YES,1-(4-Methoxyphenyl)-2-(4-ethylphenyl)ethyne,KE-23364,,,,,,,,,
10620,,YES,4-(2-Methoxy-2-phenylethyl)-α-(methoxyphenylmethyl)-1-piperazineethanol hydrochloride,KE-23363,,,,,,,,,
10621,34758-84-4,YES,4-(2-Methoxy-2-phenylethyl)-α-(methoxyphenylmethyl)-1-piperazineethanol dihydrochloride; Zipeprol dihydrochloride,KE-23362,,,,,,,,,
10622,100-06-1,YES,1-(4-Methoxyphenyl)ethanone; p-Methoxyacetophenone,KE-23361,,,,,,,,,
10623,67589-46-2,YES,4-Methoxyphenyl trans-4-n-butylcyclohexane carboxylate,KE-23360,,,,,,,,,
10624,32761-96-9,YES,"2-Methoxy-4-(phenylamino)benzenediazonium, salt with 2,4,6-trimethylbenzenesulfonic acid (1:1) polymer with 1,1'-oxybis[4-(methoxymethyl)benzene]",KE-23359,,,,,,,,,
10625,104-01-8,YES,4-Methoxyphenylacetic acid,KE-23358,,,,,,,,,
10626,613-70-7,YES,2-Methoxyphenyl acetate,KE-23357,,,,,,,,,
10627,532-03-6,YES,"3-(2-Methoxyphenoxy)-1,2-propanediol 1-carbamate; Methocarbamol",KE-23356,,,,,,,,,
10628,14214-32-5,YES,"N'-[4-(4-Methoxyphenoxy)phenyl]-N,N-dimethylurea",KE-23355,,,,,,,,,
10629,104104-12-3,YES,Bis[2-(4-methoxyphenoxy)ethyl] ether,KE-23354,,,,,,,,,
10630,150-76-5,YES,"4-Methoxyphenol; Hydroquinone monomethyl ether, Mequinol",KE-23353,,,,,,,,,
10631,90-05-1,YES,2-Methoxyphenol,KE-23352,,,,,,,,,
10632,39969-28-3,YES,1-Methoxy-4-[(4-pentylphenyl)ethynyl]benzene,KE-23351,,,,,,,,,
10633,102714-95-4,YES,"trans(trans)-4-Methoxy-4'-n-pentyl-1,1'-bicyclohexyl",KE-23350,,,,,,,,,
10634,122705-91-3,YES,"[1'α(trans),4'β(E)]-4-Methoxy-4'-(3-pentenyl)-1,1'-bicyclohexyl",KE-23349,,,,,,,,,
10635,2845-83-2,YES,4-Methoxypent-3-en-2-one,KE-23348,,,,,,,,,
10636,41051-15-4,YES,4-Methoxy-3-oxobutanoic acid methyl ester,KE-23347,,,,,,,,,
10637,929-56-6,YES,1-Methoxyoctane,KE-23346,,,,,,,,,
10638,72-33-3,YES,"(17α)-3-Methoxy-19-norpregna-1,3,5-(10)-trien-20-yn-17-ol; 3-Methoxy-19-nor-17α-pregna-1,3,5(10)-trien-20-yn-17-ol, Mestranol, Ovastol",KE-23345,,,,,,,,,
10639,58812-96-7,YES,"3-(2-Methoxy-4-nitrophenyl)-1-triazene-1-carbonitrile, sodium salt",KE-23344,,,,,,,,,
10640,6528-34-3,YES,2-[(4-Methoxy-2-nitrophenyl)azo]-N-(2-methoxyphenyl)-3-oxobutanamide,KE-23343,,,,,,,,,
10641,56315-29-8,YES,"2-Methoxy-4-nitrobenzenediazonium chloride, zinc chloride",KE-23342,,,,,,,,,
10642,68540-81-8,YES,4-Methoxy-2-nitrobenzenediazonium chloride compd. with zinc chloride (ZnCl2),KE-23341,,,,,,,,,
10643,68540-75-0,YES,2-Methoxy-5-nitrobenzenediazonium chloride compd. with zinc chloride,KE-23340,,,,,,,,,
10644,68540-82-9,YES,2-Methoxy-4-nitrobenzenediazonium chloride compd. with zinc chloride,KE-23339,,,,,,,,,
10645,100-17-4,YES,p-Nitroanisole,KE-23338,,,,,,,,,
10646,555-03-3,YES,3-Methoxynitrobenzene; 3-Nitroanisole,KE-23337,,,,,,,,,
10647,91-23-6,YES,2-Methoxynitrobenzene; 2-Nitroanisole,KE-23336,,,,,,,,,
10648,67827-72-9,YES,2-Methoxy-5-nitrobenzenamine monohydrochloride; 2-Methoxy-5-nitroanilinium chloride,KE-23335,,,,,,,,,
10649,96-96-8,YES,2-Nitro-p-anisidine,KE-23334,,,,,,,,,
10650,99-59-2,YES,2-Methoxy-5-nitrobenzenamine,KE-23333,,,,,,,,,
10651,97-52-9,YES,2-Methoxy-4-nitrobenzenamine; p-Nitro-o-anisidine,KE-23332,,,,,,,,,
