NO,CAS No.,Value,Chemical Name,KE No.,Toxic substances,Substances requiring preparation for accidents,Restricted substances,Prohibited substances,Permitted substances,Substances subject to intensive control,Persistent pollutants,Percentage & Regulatory Information,Legacy_yn
1,83804-09-5,YES,"Chromate(1-), bis[4-[(2-chloro-4-nitrophenyl)azo]-2-[[(2-hydroxy-5-nitrophenyl)imino]methyl]phenolato(2-)]-, sodium",KE-05959,,,,,,,,,
2,83804-10-8,YES,"Chromate(1-), bis[4-(2-chloro-4-nitrophenyl)azo]-2-[[(2-hydroxy-5-nitrophenyl)imino]methyl]phenolato(2-)]-, lithium",KE-05958,,,,,,,,,
3,9007-28-7,YES,"Chondroitin, hydrogen sulfate",KE-05957,,,,,,,,,
4,,YES,Choline salt of 6-hydroxy-2H-pyridazine-3-one,KE-05956,,,,,,,,,
5,28319-77-9,YES,Choline glycerophosphate,KE-05955,,,,,,,,,
6,77-91-8,YES,Choline dihydrogen citrate,KE-05954,,,,,,,,,
7,9028-76-6,YES,Cholesterol oxidase,KE-05953,,,,,,,,,
8,303-43-5,YES,Cholesterol 3β-oleate; Cholest-5-en-3-β-yloleate,KE-05952,,,,,,,,,
9,9026-00-0,YES,Cholesterol esterase,KE-05951,,,,,,,,,
10,27321-96-6,YES,"α-[(3β)-Cholest-5-en-3-yl]-ω-hydroxypoly(oxy-1,2-ethanediyl)",KE-05950,,,,,,,,,
11,17110-51-9,YES,(3β)-Cholest-5-en-3-ol (Z)-9-octadecenyl carbonate; Cholestryl oleyl carbonate,KE-05949,,,,,,,,,
12,1182-66-7,YES,(3β)-Cholest-5-en-3-ol nonanoate; Cholesteryl pelargonate,KE-05948,,,,,,,,,
13,,YES,(3β)-Cholest-5-en-3-ol alkanoate (C=4-24),KE-05947,,,,,,,,,
14,604-35-3,YES,"(3β)-Cholest-5-en-3-ol acetate; Cholesteryl acetate, Cholest-5-en-3β-yl acetate",KE-05946,,,,,,,,,
15,57-88-5,YES,"Cholest-5-en-3β-ol; Cholesterol, Cholesterin",KE-05945,,,,,,,,,
16,128-33-6,YES,"5-α-Cholesta-8,24-dien-3-β-ol",KE-05944,,,,,,,,,
17,88-04-0,YES,"4-Chloro-3,5-dimethylphenol",KE-05943,,,,,,,,,
18,1321-23-9,YES,Chloroxylenol,KE-05942,,,,,,,,,
19,28515-15-3,YES,Chlorotrimethylsilane polymer with tetrachlorosilane,KE-05941,,,,,,,,,
20,71889-01-5,YES,"Chlorotrimethylsilane, hydrolysis products with silica",KE-05940,,,,,,,,,
21,75-77-4,YES,Chlorotrimethylsilane,KE-05939,2023-1-1141,,,,,,,유독물질 : 트리메틸클로로실란[Chlorotrimethylsilane; 75-77-4] 및 이를 25% 이상 함유한 혼합물,
22,25981-83-3,YES,"5-Chloro-2,3,3-trimethyl-3H-indole",KE-05938,,,,,,,,,
23,999-81-5,YES,"2-Chloro-N,N,N-trimethylethanaminium chloride; Chlorocholine chloride, Chlormequat chloride",KE-05937,,,,,,,,,
24,126-07-8,YES,"7-Chloro-2',4,6-trimethoxy-6'-methylspiro[benzofuran-2(3H),1'-[2]cyclohexene]-3,4'-dione; Griseofulvin, Amudane",KE-05936,,,,,,,,,
25,98143-58-9,YES,"Cistus incanus creticus, ext.",KE-06033,,,,,,,,,
26,140-27-2,YES,Cinnamyl isopentanoate; Cinnamyl isovalerate,KE-06032,,,,,,,,,
27,,YES,Cinnamyl alkanoate(C=3-9),KE-06031,,,,,,,,,
28,97952-52-8,YES,"Cinnamomum massoia, ext.",KE-06030,,,,,,,,,
29,97926-28-8,YES,"Cinnamomum batavia, ext",KE-06029,,,,,,,,,
30,,YES,"Cinnamene, diethenylbenzene polymer with ethenyl ethyl benzene, aminomethylated, acid",KE-06028,,,,,,,,,
31,97926-27-7,YES,"Cinchona robusta, ext.",KE-06027,,,,,,,,,
32,98653-85-1,YES,"Cinchona pitayensis, ext.",KE-06026,,,,,,,,,
33,154-23-4,YES,Cianidanol,KE-06025,,,,,,,,,
34,12017-68-4,YES,Cobalt compound with samarium (5:1),KE-06088,,,,,,,,,
35,12017-43-5,YES,Cobalt compound with samarium (2:1),KE-06087,,,,,,,,,
36,12268-07-4,YES,Cobalt compound with lanthanum (7:2),KE-06086,,,,,,,,,
37,12297-66-4,YES,Cobalt compound with lanthanum (5:1),KE-06085,,,,,,,,,
38,61419-68-9,YES,Cobalt compound with lanthanum (3:1),KE-06084,,,,,,,,,
39,11139-24-5,YES,Cobalt compound with gadolinium (7:2),KE-06083,,,,,,,,,
40,12017-61-7,YES,Cobalt compound with gadolinium (5:1),KE-06082,,,,,,,,,
41,12017-50-4,YES,Cobalt compound with gadolinium (3:1),KE-06081,,,,,,,,,
42,,YES,Cobalt(II) complex of 3-[2-benzimidazoylimino]isoindolin-1-one(1:2),KE-06080,,,,,,,,,
43,513-79-1,YES,Cobalt carbonate,KE-06079,2024-1-1198,,,,,별표-144,,유독물질 : 탄산 코발트[Cobalt carbonate; 513-79-1] 및 이를 0.1% 이상 함유한 혼합물,
44,12006-78-9,YES,Cobalt boride (Co3B),KE-06078,,,,,,,,,
45,12045-01-1,YES,Cobalt boride (Co2B),KE-06077,,,,,,,,,
46,12006-77-8,YES,Cobalt boride (CoB),KE-06076,,,,,,,,,
47,12619-68-0,YES,Cobalt boride,KE-06075,,,,,,,,,
48,91782-61-5,YES,"Cobalt, borate propionate complexes",KE-06074,2024-1-1197,,,,,,,"유독물질 : 코발트, 붕산 프로피온산 착화합물[Cobalt, borate propionate complexes; 91782-61-5] 및 이를 0.1% 이상 함유한 혼합물",
49,68457-13-6,YES,"Cobalt, borate neodecanoate complexes",KE-06073,2024-1-1196,,,,,,,"유독물질 : 코발트, 붕산 네오데칸산 착화합물[Cobalt, borate neodecanoate complexes; 68457-13-6] 및 이를 0.1% 이상 함유한 혼합물",
50,91782-60-4,YES,"Cobalt, borate 2-ethylhexanoate complexes",KE-06072,2024-1-1195,,,,,,,"유독물질 : 코발트, 붕산 2-에틸헥산산 착화합물[Cobalt, borate 2-ethylhexanoate complexes; 91782-60-4] 및 이를 0.1% 이상 함유한 혼합물",
51,,YES,"Cobalt, borate branched or linear alkanoates (C=4-24) complexes",KE-06071,,,,,,,,,
52,13701-68-3,YES,Cobalt borate,KE-06070,,,,,,,,,
53,49676-83-7,YES,"Cobalt bis(3,5,5-trimethylhexanoate)",KE-06069,,,,,,,,,
54,18718-10-0,YES,Cobalt bis(dihydrogen phosphate),KE-06068,,,,,,,,,
55,83804-07-3,YES,"Cobaltate(1-), bis[4-hydroxy-3-[(2-hydroxy-1-naphthalenyl)azo]-N-methylbenzenesulfonamidato(2-)]-, sodium",KE-06067,,,,,,,,,
56,83804-08-4,YES,"Cobaltate(1-), bis[4-hydroxy-3-[(2-hydroxy-1-naphthalenyl)azo]-N-methylbenzenesulfonamidato(2-)]-, lithium",KE-06066,,,,,,,,,
57,12256-04-1,YES,Cobalt arsenide (CoAs3),KE-06065,97-1-119,,,,,별표-393,,유독물질 : 비소[Arsenic; 7440-38-2]와 그 화합물 및 이를 0.1% 이상 함유한 혼합물,
58,12044-42-7,YES,Cobalt arsenide (CoAs2),KE-06064,97-1-119,,,,,별표-364,,유독물질 : 비소[Arsenic; 7440-38-2]와 그 화합물 및 이를 0.1% 이상 함유한 혼합물,
59,27016-73-5,YES,Cobalt arsenide (CoAs),KE-06063,97-1-119,,,,,별표-499,,유독물질 : 비소[Arsenic; 7440-38-2]와 그 화합물 및 이를 0.1% 이상 함유한 혼합물,
60,71-48-7,YES,Cobalt acetate,KE-06062,2021-1-1011,,,,,별표-26,,"유독물질 : 아세트산코발트[Cobalt acetate; 71-48-7, 5931-89-5] 및 이를 0.1% 이상 함유한 혼합물",
61,5931-89-5,YES,Cobalt acetate,KE-06061,2021-1-1011,,,,,,,"유독물질 : 아세트산코발트[Cobalt acetate; 71-48-7, 5931-89-5] 및 이를 0.1% 이상 함유한 혼합물",
62,7440-48-4,YES,Cobalt,KE-06060,2023-1-1139,,,,,,,유독물질 : 코발트[Cobalt; 7440-48-4] 및 이를 1% 이상 함유한 혼합물,
63,65996-93-2,YES,Coal tar pitch hightemp.,KE-06059,,,,,,별표-685,,,
64,8007-45-2,YES,Coal tar,KE-06058,,,,,,,,,
65,69013-20-3,YES,"Coal, sulfonated",KE-06057,,,,,,,,,
66,92061-90-0,YES,Coal reaction products with hydrocarbon oils,KE-06056,,,,,,,,,
67,94114-47-3,YES,"Coal liquids, liq. solvent extn. soln.",KE-06055,,,,,,,,,
68,94114-48-4,YES,"Coal liquids, liq. solvent extn.",KE-06054,,,,,,,,,
69,68525-81-5,YES,"Coal, brown, sulfonated, sodium salt",KE-06053,,,,,,,,,
70,93763-07-6,YES,"Coal, brown, calcined",KE-06052,,,,,,,,,
71,68187-59-7,YES,"Coal, anthracite, devolatized",KE-06051,,,,,,,,,
72,94237-31-7,YES,"Clinoptilolite, acidactivated",KE-06050,,,,,,,,,
73,103798-68-1,YES,"Clematis fasciculiflora, ext.",KE-06049,,,,,,,,,
74,93821-35-3,YES,"Clays, flint, calcined",KE-06048,,,,,,,,,
75,64741-62-4,YES,"Clarified oils (petroleum), catalytic cracked",KE-06047,,,,,,,,,
76,68916-26-7,YES,Civet oil,KE-06046,,,,,,,,,
77,,YES,Citrus acid,KE-06045,,,,,,,,,
78,22830-18-8,YES,Citric acid zirconium salt,KE-06044,,,,,,,,,
79,68959-15-9,YES,Citric acid sodium titanium salt,KE-06043,,,,,,,,,
80,994-36-5,YES,Citric acid sodium salt,KE-06042,,,,,,,,,
81,85252-24-0,YES,Citric acid monoester with propylene glycol,KE-06041,,,,,,,,,
82,10377-38-5,YES,Citric acid lithium salt,KE-06040,,,,,,,,,
83,52031-09-1,YES,Citric acid iron(3+) sodium salt,KE-06039,,,,,,,,,
84,28633-45-6,YES,Citric acid iron(3+) salt,KE-06038,,,,,,,,,
85,7693-13-2,YES,Citric acid calcium salt,KE-06037,,,,,,,,,
86,18283-82-4,YES,Citric acid ammonium nickel salt,KE-06036,,,,,,,,,
87,7050-19-3,YES,Citric acid ammonium iron salt,KE-06035,,,,,,,,,
88,68201-80-9,YES,Citric acid ammonium iron(3+) manganese(2+) zinc salt,KE-06034,,,,,,,,,
89,8001-31-8,YES,Coconut oil,KE-06159,,,,,,,,,
90,160476-13-1,YES,"Coconut fatty acid monoethanolamide, ethoxylated, sulfated, sodium salts",KE-06158,,,,,,,,,
91,68440-04-0,YES,Coco fatty acids reaction products with diethanolamine,KE-06157,,,,,,,,,
92,67745-97-5,YES,"Coco fatty acids polymer with glycerol, pentaerythritol and phthalic anhydride",KE-06156,,,,,,,,,
93,,YES,Coco amides derivs.,KE-06155,,,,,,,,,
94,61789-19-3,YES,Cocoamides,KE-06154,,,,,,,,,
95,61791-63-7,YES,N-Coco alkyltrimethylenediamines,KE-06153,,,,,,,,,
96,61791-47-7,YES,"N-Coco alkyl-1,2'-iminobisethanol-N-oxide",KE-06152,,,,,,,,,
97,68424-94-2,YES,Coco alkyldimethyl betaines,KE-06151,,,,,,,,,
98,61788-93-0,YES,Coco alkyldimethyl amines,KE-06150,,,,,,,,,
99,95370-82-4,YES,Coco alkyl amines reaction products with epichorohydrin and formaldehyde,KE-06149,,,,,,,,,
100,95370-81-3,YES,Coco alkyl amines reaction products with epichlorohydrin,KE-06148,,,,,,,,,
101,71329-39-0,YES,"Coco alkyl amines polymers with bisphenol A, diethylenetriamine, epichlorohydrin, α-hydro-ω-hydroxypoly(oxy-1,4-butanediyl), 3-mercaptopropanoic acid and 2-(methylamino)ethanol",KE-06147,,,,,,,,,
102,96097-23-3,YES,"Coco alkyl amines polymers with bisphenol A, 1,4-butanediol, diethylenetriamine, epichlorohydrin, 3-mercaptopropionic acid and 2-(methylamino)ethanol, lactates (salts)",KE-06146,,,,,,,,,
103,96097-24-4,YES,"Coco alkyl amines polymers with bisphenol A, 1,4-butanediol, diethylenetriamine, epichlorohydrin, 3-mercaptopropionic acid and 2-(methylamino)ethanol, glycolates (salts)",KE-06145,,,,,,,,,
104,100298-72-4,YES,"Coco alkylamines, phosphates",KE-06144,,,,,,,,,
105,61791-15-9,YES,"Coco alkyl amines, ethoxylated, acetates",KE-06143,,,,,,,,,
106,61790-57-6,YES,Coco alkyl amines acetates,KE-06142,,,,,,,,,
107,61788-46-3,YES,Coco alkyl amines; (Coconut oil alkyl)amine,KE-06141,,,,,,,,,
108,1343-78-8,YES,Cochineal (dye),KE-06140,,,,,,,,,
109,68425-43-4,YES,Cocamidopropyldimethylamine propionate,KE-06139,,,,,,,,,
110,10101-58-3,YES,Cobalt wolframate,KE-06138,,,,,,,,,
111,1307-86-4,YES,Cobalt trihydroxide,KE-06137,,,,,,,,,
112,10026-18-3,YES,Cobalt trifluoride,KE-06136,,,,,,,,,
113,10241-04-0,YES,Cobalt trichloride,KE-06135,,,,,,,,,
114,12017-01-5,YES,Cobalt titanium trioxide,KE-06134,,,,,,,,,
115,12139-93-4,YES,Cobalt tin oxide (Co2SnO4),KE-06133,,,,,,,,,
116,1345-19-3,YES,Cobalt tin oxide (CoSnO3),KE-06132,,,,,,,,,
117,26490-63-1,YES,Cobalt(2+) tetrafluoroborate (1-),KE-06131,97-1-377,,,,,,,"유독물질 : 플루오로붕산[Fluoroboric acid; 16872-11-0]과 그 염류 및 이를 25%이상 함유한 혼합물. 다만, 플루오로붕산 1-에틸-3-메틸-1H-이미다졸리움(1-Ethyl-3-methyl-1H-imidazolium, tetrafluoroborate(1-); 143314-16-3), 플루오로붕산 칼륨(Potassium tetrafluoroborate; 14075-53-7)은 제외",
118,12017-13-9,YES,Cobalt telluride,KE-06130,,,,,,,,,
119,12653-56-4,YES,Cobalt sulfide,KE-06129,,,,,,,,,
120,10124-43-3,YES,Cobalt sulfate,KE-06128,2021-1-1009,,,,,별표-316,,유독물질 : 황산코발트[Cobalt sulfate; 10124-43-3] 및 이를 0.1% 이상 함유한 혼합물,
121,3267-76-3,YES,Cobalt succinate,KE-06127,,,,,,,,,
122,26686-74-8,YES,Cobalt silicate,KE-06126,,,,,,,,,
123,10026-23-0,YES,Cobalt(2+) selenite,KE-06125,97-1-134,,,,,,,"유독물질 : 셀레늄[Selenium; 7782-49-2] 또는 그 화합물과 이를 1% 이상 함유한 혼합물. 다만, 셀레늄, 카드뮴 설포셀레나이드 오렌지[Cadmium sulfoselenide orange; 12656-57-4], 카드뮴 설포셀레나이드 레드[Cadmium sulfoselenide red; 58339-34-7]의 경우는 이를 25% 미만 함유한 것은 제외",
124,1307-99-9,YES,Cobalt selenide,KE-06124,97-1-134,,,,,,,"유독물질 : 셀레늄[Selenium; 7782-49-2] 또는 그 화합물과 이를 1% 이상 함유한 혼합물. 다만, 셀레늄, 카드뮴 설포셀레나이드 오렌지[Cadmium sulfoselenide orange; 12656-57-4], 카드뮴 설포셀레나이드 레드[Cadmium sulfoselenide red; 58339-34-7]의 경우는 이를 25% 미만 함유한 것은 제외",
125,14285-59-7,YES,"Cobalt 4,4',4'',4'''-phthalocyaninetetrasulfonate",KE-06123,,,,,,,,,
126,3317-67-7,YES,"Cobalt(II) phthalocyanine; [29H,31H-Phthalocyaninato-N29,N30,N31,N32]cobalt",KE-06122,,,,,,,,,
127,11104-61-3,YES,Cobalt oxide,KE-06121,,,,,,,,,
128,12427-42-8,YES,Cobaltocenium hexafluorophosphate(1-),KE-06120,,,,,,,,,
129,12737-30-3,YES,Cobalt nickel oxide,KE-06119,,,,,,,,,
130,58591-45-0,YES,Cobalt nickel dioxide,KE-06118,,,,,,,,,
131,61789-51-3,YES,Cobalt naphthenates,KE-06117,,,,,,,,,
132,1317-42-6,YES,Cobalt monosulfide,KE-06116,,,,,,,,,
133,1307-96-6,YES,Cobalt monooxide,KE-06115,2022-1-1085,,,,,,,유독물질 : 산화코발트[Cobalt monoxide; 1307-96-6] 및 이를 1% 이상 함유한 혼합물,
134,12640-46-9,YES,Cobalt molybdenum oxide,KE-06114,,,,,,,,,
135,13762-14-6,YES,Cobalt molybdate,KE-06113,,,,,,,,,
136,25139-08-6,YES,Cobalt metasilicate,KE-06112,,,,,,,,,
137,12190-79-3,YES,Cobalt lithium dioxide,KE-06111,,,,,,,,,
138,12016-80-7,YES,Cobalt hydroxide oxide,KE-06110,,,,,,,,,
139,12672-51-4,YES,Cobalt hydroxide,KE-06109,,,,,,,,,
140,13596-21-9,YES,Cobalt hydrogen phosphate,KE-06108,,,,,,,,,
141,12021-67-9,YES,Cobalt hexafluorosilicate(2-),KE-06107,,,,,,,,,
142,85204-09-7,YES,Cobalt glycerol phosphate,KE-06106,,,,,,,,,
143,12013-10-4,YES,Cobalt disulfide,KE-06105,,,,,,,,,
144,12017-12-8,YES,Cobalt disilicide,KE-06104,,,,,,,,,
145,13455-31-7,YES,Cobalt diperchlorate,KE-06103,,,,,,,,,
146,10141-05-6,YES,Cobalt dinitrate,KE-06102,2021-1-1010,,,,,별표-318,,"유독물질 : 질산코발트[Cobalt nitrate; 10141-05-6, 14216-74-1] 및 이를 0.1% 이상 함유한 혼합물",
147,12052-28-7,YES,Cobalt diiron tetraoxide,KE-06101,,,,,,,,,
148,15238-00-3,YES,Cobalt diiodide,KE-06100,,,,,,,,,
149,21041-93-0,YES,Cobalt dihydroxide,KE-06099,2023-1-1140,,,,,,,유독물질 : 수산화 코발트[Cobalt dihydroxide; 21041-93-0] 및 이를 1% 이상 함유한 혼합물,
150,72479-96-0,YES,"Cobalt, 2,4-dihydro-4-[[2-hydroxy-5-nitrophenyl)azo]-5-methyl-2-phenyl-3H-pyrazol-3-one 3-hydroxy-7-nitro-4-[[2-(phenylamino)-1-naphthalenyl]azo]-1-naphthalenesulfonate sodium complexes",KE-06098,,,,,,,,,
151,10026-17-2,YES,Cobalt dofluoride,KE-06097,,,,,,,,,
152,67989-37-1,YES,"Coconut oil polymer with 3-hydroxy-2,2-dimethylpropyl 3-hydroxy-2,2-dimethylpropanoate, phthalic anhydride, trimellitic anhydride and trimethylolpropane",KE-06214,,,,,,,,,
153,68525-83-7,YES,"Coconut oil polymer with glycerol, phthalic anhydride and trimethylolethane",KE-06213,,,,,,,,,
154,68071-61-4,YES,"Coconut oil polymer with glycerol, phthalic anhydride and soybean oil",KE-06212,,,,,,,,,
155,68525-82-6,YES,"Coconut oil polymer with glycerol, phthalic anhydride and propylene glycol",KE-06211,,,,,,,,,
156,67989-65-5,YES,"Coconut oil polymer with glycerol, pentaerythritol and phthalic anhydride",KE-06210,,,,,,,,,
157,68551-81-5,YES,"Coconut oil polymer with glycerol, neopentyl glycol and phthalic anhydride",KE-06209,,,,,,,,,
158,67700-78-1,YES,"Coconut oil polymer with glycerol, maleic anhydride and phthalic anhydride",KE-06208,,,,,,,,,
159,70024-99-6,YES,"Coconut oil polymer with glycerol, linoleic acid, 9,11-octadecadienoic acid, 10,12-octadecadienoic acid, oleic acid and phthalic anhydride",KE-06207,,,,,,,,,
160,68308-86-1,YES,"Coconut oil polymer with glycerol, isophthalic acid, terephthalic acid and trimethylolpropane",KE-06206,,,,,,,,,
161,68921-05-1,YES,"Coconut oil polymer with glycerol, isophthalic acid, terephthalic acid and trimethylolethane",KE-06205,,,,,,,,,
162,67989-63-3,YES,"Coconut oil polymer with glycerol, isophthalic acid, maleic anhydride, phthalic anhydride and trimethylolpropane",KE-06204,,,,,,,,,
163,67989-36-0,YES,"Coconut oil polymer with glycerol, 3-hydroxy-2,2-dimethylpropyl 3-hydroxy-2,2-dimethylpropanoate, phthalic anhydride, trimellitic anhydride and trimethylolpropane",KE-06203,,,,,,,,,
164,66070-87-9,YES,Coconut oil polymer with glycerol and phthalic anhydride,KE-06202,,,,,,,,,
165,68132-70-7,YES,Coconut oil polymer with glycerol and isophthalic acid,KE-06201,,,,,,,,,
166,68604-26-2,YES,"Coconut oil polymer with fumaric acid, phthalic anhydride and trimethylolethane",KE-06200,,,,,,,,,
167,68390-42-1,YES,"Coconut oil polymer with fumaric acid, glycerol and phthalic anhydride",KE-06199,,,,,,,,,
168,68783-32-4,YES,"Coconut oil polymer with formaldehyde, 6-phenyl-1,3,5-triazine-2,4-diamine, phthalic anhydride, styrene and trimethylolethane",KE-06198,,,,,,,,,
169,66070-89-1,YES,"Coconut oil polymer with ethylene glycol, pentaerythritol and phthalic anhydride",KE-06197,,,,,,,,,
170,68082-20-2,YES,"Coconut oil polymer with ethylene glycol, glycerol, phthalic anhydride and soybean oil",KE-06196,,,,,,,,,
171,68071-60-3,YES,"Coconut oil polymer with ethylene glycol, glycerol, pentaerythritol and phthalic anhydride",KE-06195,,,,,,,,,
172,68413-10-5,YES,"Coconut oil polymer with ethylene glycol, glycerol and phthalic anhydride",KE-06194,,,,,,,,,
173,68604-25-1,YES,"Coconut oil polymer with ethylene glycol, fumaric acid, glycerol and phthalic anhydride",KE-06193,,,,,,,,,
174,115079-30-6,YES,"Coconut oil polymer with dipropylene glycol, ethylene glycol, phthalic anhydride, terephthalic acid and tripropylene glycol",KE-06192,,,,,,,,,
175,68459-29-0,YES,"Coconut oil polymer with dipentaerythritol, ethylene glycol, pentaerythritol and phthalic anhydride",KE-06191,,,,,,,,,
176,189896-43-3,YES,"Coconut oil polymer with di-Me terephthalate, dipropylene glycol, ethylene glycol, phthalic anhydride, maleic anhydride and tripropylene glycol",KE-06190,,,,,,,,,
177,68991-67-3,YES,"Coconut oil polymer with cottonseed oil, glycerol and phthalic anhydride",KE-06189,,,,,,,,,
178,68921-21-1,YES,"Coconut oil polymer with p-tert-butylbenzoic acid, pentaerythritol, phthalic anhydride and trimethylolethane",KE-06188,,,,,,,,,
179,79803-81-9,YES,"Coconut oil polymer with benzoic acid, phthalic anhydride and trimethylolpropane",KE-06187,,,,,,,,,
180,66071-24-7,YES,"Coconut oil polymer with benzoic acid, phthalic anhydride and trimethylolethane",KE-06186,,,,,,,,,
181,68132-71-8,YES,"Coconut oil polymer with benzoic acid, pentaerythritol and phthalic anhydride",KE-06185,,,,,,,,,
182,68475-77-4,YES,"Coconut oil polymer with benzoic acid, glycerol, phthalic anhydride, soybean oil and trimethylolpropane",KE-06184,,,,,,,,,
183,68038-05-1,YES,"Coconut oil polymer with benzoic acid, glycerol and phthalic anhydride",KE-06183,,,,,,,,,
184,68551-68-8,YES,"Coconut oil polymer with benzoic acid, ethylene glycol, pentaerythritol and phthalic anhydride",KE-06182,,,,,,,,,
185,68920-97-8,YES,"Coconut oil polymer with benzoic acid, cottonseed oil, ethylene glycol, pentaerythritol and phthalic anhydride",KE-06181,,,,,,,,,
186,68952-23-8,YES,"Coconut oil polymer with allyl alc., glycerol, phthalic anhydride and styrene",KE-06180,,,,,,,,,
187,68308-85-0,YES,"Coconut oil polymer with allyl alc., benzoic acid, ethylene glycol, pentaerythritol, phthalic anhydride and styrene",KE-06179,,,,,,,,,
188,68650-70-4,YES,"Coconut oil polymer with adipic acid, phthalic anhydride and trimethylolethane",KE-06178,,,,,,,,,
189,68082-19-9,YES,"Coconut oil polymer with adipic acid, maleic anhydride, phthalic anhydride and trimethylolethane",KE-06177,,,,,,,,,
190,67989-42-8,YES,"Coconut oil polymer with adipic acid, glycerol, phthalic anhydride and trimethylolpropane",KE-06176,,,,,,,,,
191,68604-24-0,YES,Coconut oil polymer with adipic acid and trimethylolethane,KE-06175,,,,,,,,,
192,71808-37-2,YES,"Coconut oil monoester with diethanolamine, monooleate (ester)",KE-06174,,,,,,,,,
193,68921-02-8,YES,"Coconut oil mixed with tallow, deodorizer distillates",KE-06173,,,,,,,,,
194,100298-75-7,YES,"Coconut oil, Me ester, glycerol-free",KE-06172,,,,,,,,,
195,93763-08-7,YES,"Coconut oil, hydrolyzed",KE-06171,,,,,,,,,
196,,YES,Coconut oil (or fatty acid) polyester,KE-06170,,,,,,,,,
197,,YES,"Coconut oil, fatty acid diethanolamide",KE-06169,,,,,,,,,
198,72230-70-7,YES,"Coconut oil, ethoxylated, phosphated",KE-06168,,,,,,,,,
199,67762-35-0,YES,"Coconut oil, ethoxylate",KE-06167,,,,,,,,,
200,90989-95-0,YES,"Coconut oil, Et ester",KE-06166,,,,,,,,,
201,68955-92-0,YES,"Coconut oil, ester with propylene glycol, ethoxylated",KE-06165,,,,,,,,,
202,75783-21-0,YES,"Coconut oil, ester with polyethylene glycol 4-(1-phenylethyl)phenyl ether",KE-06164,,,,,,,,,
203,68459-28-9,YES,"Coconut oil, ester with polyethylene glycol mono-sec-pentadecyl ether",KE-06163,,,,,,,,,
204,68333-98-2,YES,"Coconut oil, ester with polyethylene glycol mono(nonylphenyl) ether",KE-06162,,,,,,,,,
205,68647-87-0,YES,"Coconut oil, ester with polyethylene glycol mono(C=11-15)-sec-alkyl ethers",KE-06161,,,,,,,,,
206,100403-20-1,YES,"Coconut oil, distn. residues",KE-06160,,,,,,,,,
207,6408-19-1,YES,C.I. acid black 051,KE-06279,,,,,,,,,
208,,YES,C.I. acid black 049,KE-06278,,,,,,,,,
209,1328-24-1,YES,C.I. acid black 048,KE-06277,,,,,,,,,
210,,YES,C.I. acid black 040,KE-06276,,,,,,,,,
211,135842-92-1,YES,C.I. acid black 038,KE-06275,,,,,,,,,
212,8004-70-4,YES,C.I. acid black 036,KE-06274,,,,,,,,,
213,12217-14-0,YES,C.I. acid black 029,KE-06273,,,,,,,,,
214,6262-07-3,YES,C.I. acid black 026,KE-06272,,,,,,,,,
215,,YES,C.I. acid black 025,KE-06271,,,,,,,,,
216,3071-73-6,YES,C.I. acid black 024,KE-06270,,,,,,,,,
217,,YES,C.I. acid black 013,KE-06269,,,,,,,,,
218,,YES,C.I. acid black 011,KE-06268,,,,,,,,,
219,8004-59-9,YES,C.I. acid black 007,KE-06267,,,,,,,,,
220,8005-03-6,YES,C.I. acid black 002,KE-06266,,,,,,,,,
221,68989-55-9,YES,"Collagens, 10-undecenoyl derivs., sodium salts",KE-06264,,,,,,,,,
222,68989-54-8,YES,"Collagens, 10-undecenoyl derivs. compds. with morpholine",KE-06263,,,,,,,,,
223,68989-53-7,YES,"Collagens, 10-undecenoyl derivs.",KE-06262,,,,,,,,,
224,121543-31-5,YES,"Collagens, osseins",KE-06261,,,,,,,,,
225,68989-52-6,YES,"Collagens, octanoyl derivs.",KE-06260,,,,,,,,,
226,69430-23-5,YES,"Collagens, myristoyl derivs. compds. with triethanolamine",KE-06259,,,,,,,,,
227,68989-51-5,YES,"Collagens, lauroyl derivs., sodium salts",KE-06258,,,,,,,,,
228,68989-50-4,YES,"Collagens, lauroyl derivs. compds. with morpholine",KE-06257,,,,,,,,,
229,14977-61-8,YES,Chromyl dichloride,KE-06024,,,,,06-5-10,별표-455,,제한물질 : 크로뮴(6+)화합물[Chromium(6+) compounds; 18540-29-9] 및 이를 0.1% 이상 함유한  혼합물,
230,50922-29-7,YES,Chromium zinc oxide,KE-06023,,,,,,,,,
231,39455-56-6,YES,Chromium tungsten oxide,KE-06022,,,,,,,,,
232,27096-04-4,YES,Chromium tris(dihydrogen phosphate),KE-06021,,,,,,,,,
233,,YES,C.I. acid black 222,KE-06328,,,,,,,,,
234,,YES,C.I. acid black 221,KE-06327,,,,,,,,,
235,,YES,C.I. acid black 220,KE-06326,,,,,,,,,
236,,YES,C.I. acid black 218,KE-06325,,,,,,,,,
237,,YES,C.I. acid black 215,KE-06324,,,,,,,,,
238,,YES,C.I. acid black 213,KE-06323,,,,,,,,,
239,,YES,C.I. acid black 210,KE-06322,,,,,,,,,
240,,YES,C.I. acid black 209,KE-06321,,,,,,,,,
241,,YES,C.I. acid black 207,KE-06320,,,,,,,,,
242,,YES,C.I. acid black 199,KE-06319,,,,,,,,,
243,61931-02-0,YES,C.I. acid black 194,KE-06318,,,,,,,,,
244,,YES,C.I. acid black 189,KE-06317,,,,,,,,,
245,,YES,C.I. acid black 188,KE-06316,,,,,,,,,
