ID,CASRN,casregno,UID,EXP,ChemName,DEF,UVCB,FLAG,ACTIVITY
19656,63568-37-6,63568376,,,"Naphthalenedisulfonic acid, diisononyl-, ammonium salt (1:2)",,,,ACTIVE
19657,63570-27-4,63570274,,,"Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.'-1,2-ethanediylbis[.omega.-hydroxy-, potassium salt (1:2)",,,XU,INACTIVE
19658,63570-33-2,63570332,,,"1,3-Benzenedicarboxylic acid, 5-sulfo-, 1,3-dimethyl ester, sodium salt (1:1), polymer with 1,2-ethanediamine, 2-methyloxirane and oxirane",,,XU,INACTIVE
19659,63573-38-6,63573386,,,"Benzamide, N-[4-[[2-[4-[(butylsulfonyl)amino]phenoxy]-1-oxotetradecyl]amino]-5-chloro-2-hydroxyphenyl]-",,,,ACTIVE
19660,63573-57-9,63573579,,,"Tetradecanoic acid, 2-[4-[(butylsulfonyl)amino]phenoxy]-",,,,INACTIVE
19661,63573-84-2,63573842,,,"Cyclohexanemethanol, .alpha.-propyl-, 1-acetate",,,,INACTIVE
19662,63573-88-6,63573886,,,"Cyclohexanemethanol, .alpha.,4-dimethyl-, 1-acetate, trans-",,,,INACTIVE
19663,63573-89-7,63573897,,,"Cyclohexanemethanol, .alpha.,4-dimethyl-, 1-acetate, cis-",,,,INACTIVE
19664,63574-03-8,63574038,,,"Propanoic acid, 2-methyl-, 1-cyclohexyl-1-methylethyl ester",,,,INACTIVE
19665,63588-31-8,63588318,,,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, 2-hydroxyethyl 2-propenoate, N-(hydroxymethyl)-2-propenamide and 2-propenenitrile",,,XU,INACTIVE
19666,63588-33-0,63588330,,,"Nickelate(4-), [[P,P',P''-[(nitrilo-.kappa.N)tris(methylene)]tris[phosphonato-.kappa.O]](6-)]-, potassium (1:4), (T-4)-",,,,ACTIVE
19667,63588-34-1,63588341,,,"Cobaltate(4-), [[P,P',P''-[(nitrilo-.kappa.N)tris(methylene)]tris[phosphonato-.kappa.O]](6-)]-, potassium (1:4), (T-4)-",,,,INACTIVE
19668,63588-36-3,63588363,,,"Cuprate(4-), [[P,P',P''-[(nitrilo-.kappa.N)tris(methylene)]tris[phosphonato-.kappa.O]](6-)]-, potassium (1:4), (T-4)-",,,,INACTIVE
19669,63589-04-8,63589048,,,"8,16-Pyranthrenedione, dibromo-6,14-dichloro-",,,,ACTIVE
19670,63589-05-9,63589059,,,"Benzenesulfonic acid, 4-(4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl)-3-methyl-, sodium salt (1:1)",,,,INACTIVE
19671,63589-06-0,63589060,,,"5,9,14,18-Anthrazinetetrone, 8,17-dichloro-",,,,INACTIVE
19672,63589-07-1,63589071,,,"3-Pyridinecarbonitrile, 1,2-dihydro-6-hydroxy-1,4-dimethyl-2-oxo-, sodium salt (1:1)",,,,INACTIVE
19673,63589-08-2,63589082,,,"Benzamide, 4-amino-N-(2-ethylhexyl)-, hydrochloride (1:1)",,,,INACTIVE
19674,63589-09-3,63589093,,,"Propanenitrile, 3-[(2-hydroxyethyl)phenylamino]-, hydrochloride (1:1)",,,,INACTIVE
19675,63589-10-6,63589106,,,"2-Anthracenesulfonic acid, 1-amino-9,10-dihydro-4-[(4-methoxyphenyl)amino]-9,10-dioxo-, sodium salt (1:1)",,,,ACTIVE
19676,63589-11-7,63589117,,,"2,7-Naphthalenedisulfonic acid, 5-[2-[2,4-dihydroxy-5-[2-(2-hydroxy-4,6-dinitrophenyl)diazenyl]phenyl]diazenyl]-4-hydroxy-3-[2-(4-nitrophenyl)diazenyl]-, sodium salt (1:2)",,,,INACTIVE
19677,63589-12-8,63589128,,,"2,7-Naphthalenedisulfonic acid, 4-[2-[2,4-dihydroxy-5-[2-(2-hydroxy-4,6-dinitrophenyl)diazenyl]phenyl]diazenyl]-5-hydroxy-, sodium salt (1:2)",,,,INACTIVE
19678,63589-13-9,63589139,,,"Phenol, 2-amino-3,5-dinitro-, sodium salt (1:1)",,,,INACTIVE
19679,63589-14-0,63589140,,,"Propanenitrile, 3-(butylphenylamino)-, sulfate (2:1)",,,,INACTIVE
19680,63589-15-1,63589151,,,"Propanenitrile, 3-[[2-(acetyloxy)ethyl]phenylamino]-, hydrochloride (1:1)",,,,INACTIVE
19681,63589-16-2,63589162,,,"Ethanol, 2-(ethylphenylamino)-, sulfate (1:1)",,,,INACTIVE
19682,63589-17-3,63589173,,,"2-Benzothiazolamine, 6-methoxy-, sulfate (1:1)",,,,INACTIVE
19683,63589-18-4,63589184,,,"Benzonitrile, 2-hydrazinyl-",,,,INACTIVE
19684,63589-19-5,63589195,,,"Benzonitrile, 2-amino-, sulfate (1:1)",,,,INACTIVE
19685,63589-20-8,63589208,,,"2-Thiazolamine, sulfate (1:1)",,,,INACTIVE
19686,63589-21-9,63589219,,,"1-Naphthalenesulfonic acid, 3-hydroxy-7-nitro-4-(nitrosoamino)-, sodium salt (1:2)",,,,INACTIVE
19687,63589-22-0,63589220,,,"2,7-Naphthalenedisulfonic acid, 4-[2-(2,4-dihydroxyphenyl)diazenyl]-5-hydroxy-, sodium salt (1:2)",,,,INACTIVE
19688,63589-25-3,63589253,,,"1-Naphthalenesulfonic acid, 4-diazo-3,4-dihydro-7-nitro-3-oxo-",,,,ACTIVE
19689,63589-26-4,63589264,,,"2-Anthracenecarboxamide, 4-amino-9,10-dihydro-N-(3-methoxypropyl)-1-nitro-9,10-dioxo-",,,,INACTIVE
19690,63589-27-5,63589275,,,"Urea, N,N'-bis(1-methylethyl)-, compd. with sulfur trioxide (1:1)",,,,INACTIVE
19691,63589-28-6,63589286,,,"1H-Imidazole, 2-[2-(4-chlorophenyl)diazenyl]-",,,,INACTIVE
19692,63589-29-7,63589297,,,"Benzenamine, N,N-diethyl-4-[2-(1H-indazol-3-yl)diazenyl]-",,,,ACTIVE
19693,63589-30-0,63589300,,,"1H-Indole, 2,3-dihydro-3,3-dimethyl-2-[[2-(2-naphthalenyl)diazenyl]methylene]-",,,,INACTIVE
19694,64346-37-8,64346378,,,"1,3-Naphthalenedisulfonic acid, 7-[2-[4-[2-(4-amino-2-methylphenyl)diazenyl]-2-methylphenyl]diazenyl]-, sodium salt (1:2)",,,,INACTIVE
19695,64346-38-9,64346389,,,"1,3-Naphthalenedisulfonic acid, 7-hydroxy-8-[2-(4'-hydroxy-3,3'-dimethyl[1,1'-biphenyl]-4-yl)diazenyl]-, sodium salt (1:2)",,,,INACTIVE
19696,64346-40-3,64346403,,,"1,3-Naphthalenedisulfonic acid, 7-[2-[2-methyl-4-[2-[2-methyl-4-[(4-nitrobenzoyl)amino]phenyl]diazenyl]phenyl]diazenyl]-, sodium salt (1:2)",,,,INACTIVE
19697,64346-43-6,64346436,,,"7-Benzothiazolesulfonic acid, 2-[2-(2,3-dihydro-1,3-dioxo-1H-inden-2-yl)-6-quinolinyl]-6-methyl-, compd. with N-methylmethanamine (1:1)",,,,ACTIVE
19698,64346-47-0,64346470,,,"2-Butenoic acid, 3-[[[(1,1-dimethylethyl)amino]carbonyl]amino]-, methyl ester",,,,INACTIVE
19699,64346-52-7,64346527,,,"1,1,2-Ethanetricarbonitrile, 2-[4-(dibutylamino)phenyl]-",,,PMN,INACTIVE
19700,64346-55-0,64346550,,,"Phenol, 2,2'-[1,2-cyclohexanediylbis(nitrilomethylidyne)]bis-",,,,INACTIVE
19701,64346-56-1,64346561,,,"Disulfide, 2,3-dimethylphenyl 2,5-dimethylphenyl",,,,INACTIVE
19702,64346-57-2,64346572,,,"Disulfide, 2,5-dimethylphenyl 3,4-dimethylphenyl",,,,INACTIVE
19703,64346-60-7,64346607,,,"Acetamide, N-[2-[2-(2-chloro-4-nitrophenyl)diazenyl]-5-[(2-cyanoethyl)(2-hydroxybutyl)amino]phenyl]-",,,,INACTIVE
19704,64346-61-8,64346618,,,"Ethanaminium, 2-[[4-[2-(2-chloro-4-nitrophenyl)diazenyl]-3-methylphenyl]ethylamino]-N,N-diethyl-N-methyl-, chloride (1:1)",,,,INACTIVE
19705,64346-65-2,64346652,,,"Ethanaminium, N-(2-hydroxyethyl)-N-[2-[(2-hydroxyethyl)[2-[(2-hydroxyethyl)[2-[(1-oxohexadecyl)oxy]ethyl]amino]ethyl]amino]ethyl]-2-[(2-hydroxyethyl)(1-oxohexadecyl)amino]-N-methyl-, methyl sulfate (1:1)",,,,INACTIVE
19706,64346-67-4,64346674,,,"Ethanaminium, N-(2-hydroxyethyl)-2-[(2-hydroxyethyl)(1-oxooctadecyl)amino]-N-[2-[(2-hydroxyethyl)[2-[(1-oxooctadecyl)oxy]ethyl]amino]ethyl]-N-methyl-, methyl sulfate (1:1)",,,,INACTIVE
19707,64346-68-5,64346685,,,"Ethanaminium, N,N,N-triethyl-2-(ethylphenylamino)-, chloride (1:1)",,,,INACTIVE
19708,64346-69-6,64346696,,,"Benzenamine, 4,4'-(chlorophenylmethylene)bis[N,N-dimethyl-, sulfate (1:1)",,,,INACTIVE
19709,64346-70-9,64346709,,,"Benzenamine, N,N-diethyl-2-methoxy-",,,,INACTIVE
19710,64346-71-0,64346710,,,"9,10-Anthracenedione, 1,4-bis[(3-chlorophenyl)amino]-",,,,INACTIVE
19711,64346-72-1,64346721,,,"Benzamide, N-[3-(diethylamino)-4-methoxyphenyl]-",,,,INACTIVE
19712,64346-74-3,64346743,,,"1,4-Benzenedisulfonic acid, 2-[2-[4-[2-(4-amino-1-naphthalenyl)diazenyl]-6-sulfo-1-naphthalenyl]diazenyl]-, sodium salt (1:3)",,,,INACTIVE
19713,64346-75-4,64346754,,,"Benzenesulfonic acid, 4-(ethylamino)-3-methyl-",,,,INACTIVE
19714,64346-82-3,64346823,,,"Phosphoric acid, polymer with 4,4'-(1-methylethylidene)bis[phenol] and 2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bis[oxirane]",,,XU,ACTIVE
19715,64346-83-4,64346834,,,"2-Propenoic acid, 2-methyl-, 2-(diethylamino)ethyl ester, polymer with hexadecyl 2-methyl-2-propenoate and octadecyl 2-methyl-2-propenoate",,,XU,ACTIVE
19716,64346-91-4,64346914,,,"Ethanesulfonamide, N-(2-aminoethyl)-2-[1-[difluoro[(1,2,2-trifluoroethenyl)oxy]methyl]-1,2,2,2-tetrafluoroethoxy]-1,1,2,2-tetrafluoro-, polymer with 1,1,2,2-tetrafluoroethene",,,S,INACTIVE
19717,64346-93-6,64346936,,,"2,5-Pyrrolidinedione, 1-[2-[[2-[[2-[[2-[3-(dotetraconten-1-yl)-2,5-dioxo-1-pyrrolidinyl]ethyl]amino]ethyl]amino]ethyl]amino]ethyl]-3-(hexatriaconten-1-yl)-",,,,INACTIVE
19718,64346-95-8,64346958,,,"2,5-Pyrrolidinedione, 1-[2-[[2-[[2-[[2-[2,5-dioxo-3-(tetratetraconten-1-yl)-1-pyrrolidinyl]ethyl]amino]ethyl]amino]ethyl]amino]ethyl]-3-(hexatriaconten-1-yl)-",,,,INACTIVE
19719,64346-97-0,64346970,,,"2,5-Pyrrolidinedione, 1,1'-[iminobis(2,1-ethanediylimino-2,1-ethanediyl)]bis[3-(octatriaconten-1-yl)-",,,,INACTIVE
19720,64346-99-2,64346992,,,"2,5-Pyrrolidinedione, 1-[2-[[2-[[2-[[2-[2,5-dioxo-3-(tetraconten-1-yl)-1-pyrrolidinyl]ethyl]amino]ethyl]amino]ethyl]amino]ethyl]-3-(octatriaconten-1-yl)-",,,,INACTIVE
19721,64347-01-9,64347019,,,"2,5-Pyrrolidinedione, 1-[2-[[2-[[2-[[2-[3-(dotetraconten-1-yl)-2,5-dioxo-1-pyrrolidinyl]ethyl]amino]ethyl]amino]ethyl]amino]ethyl]-3-(octatriaconten-1-yl)-",,,,INACTIVE
19722,64347-03-1,64347031,,,"2,5-Pyrrolidinedione, 1-[2-[[2-[[2-[[2-[2,5-dioxo-3-(tetratetraconten-1-yl)-1-pyrrolidinyl]ethyl]amino]ethyl]amino]ethyl]amino]ethyl]-3-(octatriaconten-1-yl)-",,,,INACTIVE
19723,64347-05-3,64347053,,,"2,5-Pyrrolidinedione, 1,1'-[iminobis(2,1-ethanediylimino-2,1-ethanediyl)]bis[3-(tetraconten-1-yl)-",,,,INACTIVE
19724,64347-07-5,64347075,,,"2,5-Pyrrolidinedione, 1,1'-[iminobis(2,1-ethanediylimino-2,1-ethanediyl)]bis[3-(dotetraconten-1-yl)-",,,,INACTIVE
19725,64347-09-7,64347097,,,"2,5-Pyrrolidinedione, 1-[2-[[2-[[2-[[2-[2,5-dioxo-3-(tetracosen-1-yl)-1-pyrrolidinyl]ethyl]amino]ethyl]amino]ethyl]amino]ethyl]-3-(octadecen-1-yl)-",,,,INACTIVE
19726,64347-11-1,64347111,,,"2,5-Pyrrolidinedione, 1,1'-[iminobis(2,1-ethanediylimino-2,1-ethanediyl)]bis[3-(eicosen-1-yl)-",,,,INACTIVE
19727,64347-13-3,64347133,,,"2,5-Pyrrolidinedione, 1-[2-[[2-[[2-[[2-[3-(docosen-1-yl)-2,5-dioxo-1-pyrrolidinyl]ethyl]amino]ethyl]amino]ethyl]amino]ethyl]-3-(eicosen-1-yl)-",,,,INACTIVE
19728,64347-15-5,64347155,,,"2,5-Furandione, dihydro-3-(tetracosen-1-yl)-",,,,INACTIVE
19729,64347-17-7,64347177,,,"2,5-Furandione, dihydro-3-(octatriaconten-1-yl)-",,,,INACTIVE
19730,64347-19-9,64347199,,,"2,5-Furandione, dihydro-3-(tetraconten-1-yl)-",,,,INACTIVE
19731,64347-21-3,64347213,,,"2,5-Pyrrolidinedione, 1-[2-[[2-[[2-[[2-[2,5-dioxo-3-(tetraconten-1-yl)-1-pyrrolidinyl]ethyl]amino]ethyl]amino]ethyl]amino]ethyl]-3-(hexatriaconten-1-yl)-",,,,INACTIVE
19732,64347-44-0,64347440,,,"Aluminum, butoxybis[ethyl 3-(oxo-.kappa.O)butanoato-.kappa.O']-",,,PMN,ACTIVE
19733,64354-92-3,64354923,,,"Propanenitrile, 3-(isodecyloxy)-",,,,INACTIVE
19734,64359-80-4,64359804,,,"3(2H)-Isothiazolone, 4-chloro-2-octyl-",,,,ACTIVE
19735,64359-81-5,64359815,,,"3(2H)-Isothiazolone, 4,5-dichloro-2-octyl-",,,,ACTIVE
19736,64365-17-9,64365179,,,"Resin acids and Rosin acids, hydrogenated, esters with pentaerythritol",,UVCB,,ACTIVE
19737,14492-59-2,14492592,,,"Aluminate(2-), [carbonato(2-)-.kappa.O]trihydroxy-, magnesium (1:1), (T-4)-",,,,INACTIVE
19738,14492-68-3,14492683,,,"Pyridinium, 1-[2-oxo-2-[[2-[(1-oxooctadecyl)oxy]ethyl]amino]ethyl]-, chloride (1:1)",,,,ACTIVE
19739,14493-01-7,14493017,,,"Platinate(2-), tetrabromo-, (SP-4-1)-",,,,INACTIVE
19740,14497-03-1,14497031,,,"Propanamide, 3,3'-[[(4-aminophenyl)sulfonyl]imino]bis-",,,,INACTIVE
19741,14501-64-5,14501645,,,"9H-Carbazole-3-carboxylic acid, 2-hydroxy-",,,,INACTIVE
19742,14504-95-1,14504951,,,"Silicic acid (H2SiO3), aluminum salt (3:2)",,,,ACTIVE
19743,14507-19-8,14507198,,,Lanthanum hydroxide (La(OH)3),,,,ACTIVE
19744,14507-36-9,14507369,,,"Phosphinic acid, nickel(2+) salt (2:1)",,,PMN,ACTIVE
19745,14508-49-7,14508497,,,"Pyrazine, 2-chloro-",,,,ACTIVE
19746,14516-46-2,14516462,,,"Palladate(2-), tetrakis(cyano-.kappa.C)-, potassium (1:2), (SP-4-1)-",,,,INACTIVE
19747,14516-71-3,14516713,,,"Nickel, (1-butanamine)[[2,2'-(thio-.kappa.S)bis[4-(1,1,3,3-tetramethylbutyl)phenolato-.kappa.O]](2-)]-",,,,ACTIVE
19748,14518-69-5,14518695,,,"Phosphonium, tetrabutyl-, hydroxide (1:1)",,,PMN; S,ACTIVE
19749,14519-07-4,14519074,,,"Bromic acid, zinc salt (2:1)",,,,INACTIVE
19750,14520-70-8,14520708,,,"Phosphoric acid, ammonium cadmium salt (1:1:1)",,,,INACTIVE
19751,14523-25-2,14523252,,,"Copper, bis[2-(hydroxy-.kappa.O)benzaldehydato-.kappa.O]-",,,,INACTIVE
19752,14532-24-2,14532242,,,1-Hexanesulfonyl chloride,,,,INACTIVE
19753,14533-68-7,14533687,,,"2-Butenedioic acid (2Z)-, 1-(2-cyanoethyl) ester",,,,INACTIVE
19754,14534-87-3,14534873,,,"Benzoic acid, iron(3+) salt (3:1)",,,,ACTIVE
19755,14535-98-9,14535989,,,"Dodecanoic acid, cerium(3+) salt (3:1)",,,,INACTIVE
19756,14538-51-3,14538513,,,"2,3-Butanediamine, N2,N3-dihydroxy-2,3-dimethyl-, sulfate (1:1)",,,,INACTIVE
19757,14541-90-3,14541903,,,"2-Anthracenesulfonic acid, 1-amino-4-[[3-(ethenylsulfonyl)phenyl]amino]-9,10-dihydro-9,10-dioxo-, sodium salt (1:1)",,,,INACTIVE
19758,14542-23-5,14542235,,,Fluorite (CaF2),,,,ACTIVE
19759,14542-93-9,14542939,,,"Pentane, 2-isocyano-2,4,4-trimethyl-",,,,INACTIVE
19760,14548-46-0,14548460,,,"Methanone, phenyl-4-pyridinyl-",,,,INACTIVE
19761,14548-60-8,14548608,,,"Methanol, 1-(phenylmethoxy)-",,,,ACTIVE
19762,14548-85-7,14548857,,,"2-Butenedioic acid (2E)-, ammonium salt (1:2)",,,PMN,ACTIVE
19763,14552-35-3,14552353,,,"Copper(2+), bis(1,2-ethanediamine-.kappa.N1,.kappa.N2)-, hydroxide (1:2), (SP-4-1)-",,,,ACTIVE
19764,14552-81-9,14552819,,,"1H-Pyrazole-3-carboxylic acid, 4-[2-[5-[(4,6-dichloro-1,3,5-triazin-2-yl)amino]-2-sulfophenyl]diazenyl]-4,5-dihydro-5-oxo-1-(4-sulfophenyl)-, sodium salt (1:2)",,,,INACTIVE
19765,14553-44-7,14553447,,,"Silicic acid (H4SiO4), thorium(4+) salt (1:1)",,,,INACTIVE
19766,14562-04-0,14562040,,,"Acetonitrile, 2-[[(4-methylphenyl)sulfonyl]oxy]-",,,,INACTIVE
19767,14564-35-3,14564353,,,"Ruthenium, dicarbonyldichlorobis(triphenylphosphine)-",,,,ACTIVE
19768,14564-70-6,14564706,,,"Cobaltate(4-), hexakis(cyano-.kappa.C)-, potassium (1:4), (OC-6-11)-",,,,INACTIVE
19769,14564-74-0,14564740,,,"Benzenesulfonic acid, 4-dodecyl-, potassium salt (1:1)",,,,ACTIVE
19770,14569-54-1,14569541,,,"Butanamide, 2,2'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(2,1-diazenediyl)]bis[N-(2-chlorophenyl)-3-oxo-",,,,INACTIVE
19771,14569-71-2,14569712,,,"2-Propanol, 1,3-bis(4-nonylphenoxy)-",,,,INACTIVE
19772,14576-08-0,14576080,,,"Cyclohexene, 4-(1-methoxy-1-methylethyl)-1-methyl-",,,,ACTIVE
19773,14579-03-4,14579034,,,"Cyclopentane, (trichlorosilyl)-",,,PMN,ACTIVE
19774,14579-91-0,14579910,,,"Silanamine, 1-(chloromethyl)-N-[(chloromethyl)dimethylsilyl]-1,1-dimethyl-",,,,INACTIVE
19775,14580-01-9,14580019,,,"Butanedioic acid, 1-(2-phenylhydrazide)",,,PMN,ACTIVE
19776,14580-22-4,14580224,,,"3H-Pyrazol-3-one, 2-(2-chlorophenyl)-2,4-dihydro-5-methyl-",,,,ACTIVE
19777,14581-21-6,14581216,,,"Hydrazine, (4-chlorophenyl)-, sulfate (2:1)",,,,INACTIVE
19778,14586-40-4,14586404,,,"Pyridinium, 1-hexadecyl-3-methyl-, chloride (1:1)",,,,INACTIVE
19779,14586-51-7,14586517,,,"Ruthenium, trihydroxynitrosyl-",,,,ACTIVE
19780,14586-54-0,14586540,,,"Iron(2+), tris(1,10-phenanthroline-.kappa.N1,.kappa.N10)-, (OC-6-11)-, perchlorate (1:2)",,,,ACTIVE
19781,14590-13-7,14590137,,,"Phosphoric acid, ammonium cobalt(2+) salt (1:1:1)",,,,ACTIVE
19782,14590-19-3,14590193,,,"Selenic acid, cobalt(2+) salt (1:1)",,,,INACTIVE
19783,14590-38-6,14590386,,,"Selenious acid, strontium salt (1:1)",,,,ACTIVE
19784,14593-46-5,14593465,,,"2-Butanol, 2-methyl-, sodium salt (1:1)",,,PMN,ACTIVE
19785,14595-35-8,14595358,,,"2-Butenedioic acid (2E)-, 1,4-dipropyl ester",,,,INACTIVE
19786,14595-54-1,14595541,,,"4-Cyclopentadecen-1-one, (4Z)-",,,,ACTIVE
19787,14602-62-1,14602621,,,"Propane, 1,1,2-tribromo-",,,,INACTIVE
19788,14607-25-1,14607251,,,"Benzenesulfonamide, 4-[2-[4-[bis(2-hydroxyethyl)amino]-2-methylphenyl]diazenyl]-N-(2-chloroethyl)-",,,,INACTIVE
19789,14618-10-1,14618101,,,"3H-1,2-Benzoxathiole, 5-nitro-, 2,2-dioxide",,,,INACTIVE
19790,14618-78-1,14618781,,,"Butanenitrile, 4,4-dimethoxy-",,,PMN,ACTIVE
19791,14620-52-1,14620521,,,"Dodecane, 1,1-dimethoxy-",,,,ACTIVE
19792,14621-07-9,14621079,,,"1-Butanol, 2-amino-, (2R)-, (2R,3R)-2,3-dihydroxybutanedioate (1:?)",,,,INACTIVE
19793,14623-75-7,14623757,,,"Carbonic acid, cerium salt (1:?)",,,,ACTIVE
19794,14624-13-6,14624136,,,"1-Octanol, aluminum salt (3:1)",,,,INACTIVE
19795,14624-15-8,14624158,,,"1-Dodecanol, aluminum salt (3:1)",,,,INACTIVE
19796,14630-40-1,14630401,,,"Silane, 1,1'-(1,2-ethynediyl)bis[1,1,1-trimethyl-",,,,ACTIVE
19797,14634-91-4,14634914,,,"Iron(2+), tris(1,10-phenanthroline-.kappa.N1,.kappa.N10)-, (OC-6-11)-, sulfate (1:1)",,,,ACTIVE
19798,14634-93-6,14634936,,,"Zinc, bis(N-ethyl-N-phenylcarbamodithioato-.kappa.S,.kappa.S')-, (T-4)-",,,,ACTIVE
19799,14635-75-7,14635757,,,"Borate(1-), tetrafluoro-, nitrosyl (1:1)",,,,ACTIVE
19800,14637-08-2,14637082,,,"Benzothiazolium, 2-[2-[(3-ethyl-5-methoxy-2(3H)-benzothiazolylidene)methyl]-1-buten-1-yl]-5-methoxy-3-(3-sulfopropyl)-, inner salt",,,,INACTIVE
19801,14638-93-8,14638938,,,Potassium vanadium oxide (K4V2O7),,,,INACTIVE
19802,14639-04-4,14639044,,,"Iron(2+), tris(3,4,7,8-tetramethyl-1,10-phenanthroline-.kappa.N1,.kappa.N10)-, (OC-6-11)-, sulfate (1:1)",,,,INACTIVE
19803,14639-97-5,14639975,,,"Zincate(2-), tetrachloro-, ammonium (1:2), (T-4)-",,,,ACTIVE
19804,14639-98-6,14639986,,,"Zincate(3-), pentachloro-, ammonium (1:3)",,,,ACTIVE
19805,14640-56-3,14640563,,,"Diphosphoric acid, cobalt(2+) salt (1:2)",,,,INACTIVE
19806,14641-93-1,14641931,,,".alpha.-D-Glucopyranose, 4-O-.beta.-D-galactopyranosyl-",,,,ACTIVE
19807,14643-87-9,14643879,,,"2-Propenoic acid, zinc salt (2:1)",,,,ACTIVE
19808,14644-55-4,14644554,,,Cesium vanadium oxide (CsVO3),,,,ACTIVE
19809,14644-61-2,14644612,,,"Sulfuric acid, zirconium(4+) salt (2:1)",,,,ACTIVE
19810,14646-15-2,14646152,,,"2,3-Pyrrolidinedione, 4-[(4-hydroxy-3-methoxyphenyl)methylene]-1-methyl-",,,,INACTIVE
19811,14646-16-3,14646163,,,Erbium hydroxide (Er(OH)3),,,,INACTIVE
19812,14649-73-1,14649731,,,"Cobaltate(3-), hexakis(nitrito-.kappa.O)-, sodium (1:3), (OC-6-11)-",,,,ACTIVE
19813,14650-24-9,14650249,,,"2-Propenoic acid, 2-methyl-, 2-[[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)sulfonyl]methylamino]ethyl ester",,,S,INACTIVE
19814,14653-91-9,14653919,,,"Benzenesulfonamide, 4-methyl-N-(methylsulfonyl)-",,,PMN,INACTIVE
19815,14654-63-8,14654638,,,"Copper, [29H,31H-phthalocyanine-2,9,16,23-tetraminato(2-)-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]-, (SP-4-1)-",,,,INACTIVE
19816,14657-64-8,14657648,,,"Propanoic acid, 3-(hydroxyphenylphosphinyl)-",,,PMN,ACTIVE
19817,14663-73-1,14663731,,,"Ethanol, 2-[2-(tridecyloxy)ethoxy]-",,,,INACTIVE
19818,14666-94-5,14666945,,,"9-Octadecenoic acid (9Z)-, cobalt salt (1:?)",,,,ACTIVE
19819,14666-96-7,14666967,,,"9,12-Octadecadienoic acid (9Z,12Z)-, cobalt salt (1:?)",,,,ACTIVE
19820,14667-54-0,14667540,,,"Methanone, bis(1H-benzimidazol-1-yl)-",,,,INACTIVE
19821,14667-55-1,14667551,,,"Pyrazine, 2,3,5-trimethyl-",,,,ACTIVE
19822,14667-59-5,14667595,,,"Benzoic acid, 2-chloro-5-nitro-, sodium salt (1:1)",,,,INACTIVE
19823,14676-61-0,14676610,,,"1-Propanamine, 3-(tridecyloxy)-",,,,ACTIVE
19824,14688-12-1,14688121,,,"Benzenesulfinic acid, 2-amino-5-nitro-",,,,INACTIVE
19825,14689-20-4,14689204,,,"Cerate(1-), [[N,N'-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, sodium (1:1), (OC-6-21)-",,,,INACTIVE
19826,14689-29-3,14689293,,,"Zincate(2-), [[N,N'-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, potassium (1:2), (OC-6-21)-",,,,ACTIVE
19827,14691-80-6,14691806,,,"Diphosphoric acid, sodium salt (1:3)",,,,ACTIVE
19828,14691-87-3,14691873,,,Potassium hydroxide periodate (K2(OH)(IO4)),,,,INACTIVE
19829,14691-88-4,14691884,,,"1-Piperidinyloxy, 4-amino-2,2,6,6-tetramethyl-",,,,ACTIVE
19830,14691-89-5,14691895,,,"1-Piperidinyloxy, 4-(acetylamino)-2,2,6,6-tetramethyl-",,,,ACTIVE
19831,14692-76-3,14692763,,,"Cuprate(4-), [3-[2-[8-[(4-amino-6-chloro-1,3,5-triazin-2-yl)amino]-1-(hydroxy-.kappa.O)-3,6-disulfo-2-naphthalenyl]diazenyl-.kappa.N1]-4-(hydroxy-.kappa.O)-1,5-naphthalenedisulfonato(6-)]-, sodium (1:1)",,,,ACTIVE
19832,14693-81-3,14693813,,,Tantalum iodide (TaI5),,,,INACTIVE
19833,14694-95-2,14694952,,,"Rhodium, chlorotris(triphenylphosphine)-, (SP-4-2)-",,,,ACTIVE
19834,14696-66-3,14696663,,,"Diphosphoric acid, aluminum salt (3:4)",,,,ACTIVE
19835,14696-77-6,14696776,,,"Selenic acid, aluminum salt (3:2)",,,,INACTIVE
19836,14697-48-4,14697484,,,"Hexanedioic acid, 1,6-diheptyl ester",,,,INACTIVE
19837,14697-50-8,14697508,,,"1,3,2-Dioxaborinane, 2,2'-oxybis[4,4,6-trimethyl-",,,,ACTIVE
19838,14706-41-3,14706413,,,"Benzenesulfonamide, 4-methyl-N-(phenylsulfonyl)-",,,,INACTIVE
19839,14708-11-3,14708113,,,"Borate(1-), tetrafluoro-, copper(1+) (1:1)",,,,INACTIVE
19840,14708-13-5,14708135,,,"Borate(1-), tetrafluoro-, magnesium (2:1)",,,,INACTIVE
19841,14708-14-6,14708146,,,"Borate(1-), tetrafluoro-, nickel(2+) (2:1)",,,,ACTIVE
