ID,CASRN,casregno,UID,EXP,ChemName,DEF,UVCB,FLAG,ACTIVITY
54,51-77-4,51774,,,"4,8,12-Tetradecatrienoic acid, 5,9,13-trimethyl-, (2E)-3,7-dimethyl-2,6-octadien-1-yl ester, (4E,8E)-",,,,INACTIVE
55,51-78-5,51785,,,"Phenol, 4-amino-, hydrochloride (1:1)",,,,INACTIVE
56,51-79-6,51796,,,"Carbamic acid, ethyl ester",,,S,ACTIVE
57,51-80-9,51809,,,"Methanediamine, N,N,N',N'-tetramethyl-",,,,ACTIVE
58,51-82-1,51821,,,"Carbamodithioic acid, N,N-dimethyl-, (dimethylamino)methyl ester",,,,INACTIVE
59,51-83-2,51832,,,"Ethanaminium, 2-[(aminocarbonyl)oxy]-N,N,N-trimethyl-, chloride (1:1)",,,,ACTIVE
60,51-93-4,51934,,,"Ethanaminium, N,N,N-trimethyl-, iodide (1:1)",,,,INACTIVE
61,52-01-7,52017,,,"Pregn-4-ene-21-carboxylic acid, 7-(acetylthio)-17-hydroxy-3-oxo-, .gamma.-lactone, (7.alpha.,17.alpha.)-",,,,ACTIVE
62,52-39-1,52391,,,"Pregn-4-en-18-al, 11,21-dihydroxy-3,20-dioxo-, (11.beta.)-",,,,ACTIVE
63,52-51-7,52517,,,"1,3-Propanediol, 2-bromo-2-nitro-",,,,ACTIVE
64,52-52-8,52528,,,"Cyclopentanecarboxylic acid, 1-amino-",,,,ACTIVE
65,52-85-7,52857,,,"Phosphorothioic acid, O-[4-[(dimethylamino)sulfonyl]phenyl] O,O-dimethyl ester",,,,ACTIVE
66,52-88-0,52880,,,"8-Azoniabicyclo[3.2.1]octane, 3-(3-hydroxy-1-oxo-2-phenylpropoxy)-8,8-dimethyl-, (3-endo)-, nitrate (1:1)",,,,INACTIVE
67,52-89-1,52891,,,"L-Cysteine, hydrochloride (1:1)",,,,ACTIVE
68,52-90-4,52904,,,L-Cysteine,,,,ACTIVE
69,53-03-2,53032,,,"Pregna-1,4-diene-3,11,20-trione, 17,21-dihydroxy-",,,,INACTIVE
70,53-16-7,53167,,,"Estra-1,3,5(10)-trien-17-one, 3-hydroxy-",,,,ACTIVE
71,53-57-6,53576,,,"Adenosine 5'-(trihydrogen diphosphate), 2'-(dihydrogen phosphate), P'.fwdarw.5'-ester with 1,4-dihydro-1-.beta.-D-ribofuranosyl-3-pyridinecarboxamide",,,,INACTIVE
72,53-59-8,53598,,,"Adenosine 5'-(trihydrogen diphosphate), 2'-(dihydrogen phosphate), P'.fwdarw.5'-ester with 3-(aminocarbonyl)-1-.beta.-D-ribofuranosylpyridinium, inner salt",,,,ACTIVE
73,53-60-1,53601,,,"10H-Phenothiazine-10-propanamine, N,N-dimethyl-, hydrochloride (1:1)",,,,INACTIVE
74,53-70-3,53703,,,"Dibenz[a,h]anthracene",,,,ACTIVE
75,53-84-9,53849,,,"Adenosine 5'-(trihydrogen diphosphate), P'.fwdarw.5'-ester with 3-(aminocarbonyl)-1-.beta.-D-ribofuranosylpyridinium, inner salt",,,,ACTIVE
76,53-86-1,53861,,,"1H-Indole-3-acetic acid, 1-(4-chlorobenzoyl)-5-methoxy-2-methyl-",,,,ACTIVE
77,53-96-3,53963,,,"Acetamide, N-9H-fluoren-2-yl-",,,,ACTIVE
78,54-11-5,54115,,,"Pyridine, 3-[(2S)-1-methyl-2-pyrrolidinyl]-",,,,ACTIVE
79,54-12-6,54126,,,Tryptophan,,,,ACTIVE
80,54-21-7,54217,,,"Benzoic acid, 2-hydroxy-, sodium salt (1:1)",,,,ACTIVE
