CAS Number,CAS Name,Name,Approval
1309-60-0,Lead oxide (PbO2),Lead oxide,HSNO Approval: HSR001285 Approved with controls
1309-64-4,Antimony oxide (Sb2O3),Antimony trioxide,HSNO Approval: HSR002901 Approved with controls
1309787-12-9,"Oxirane, 2-methyl-, polymer with oxirane, ether with 2,2'-[(9Z)-9-octadecen-1-ylimino]bis[ethanol] (2:1)","Oleyl (vegetable oil) amine ethoxylated, propoxylated",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
130983-46-9,"1,6,7,8-Indolizinetetrol, octahydro-, [1S-(1.alpha.,6.alpha.,7.beta.,8.beta.,8a.beta.)]-","1,6,7,8-Indolizinetetrol, octahydro-, 1S-(1.alpha.,6.alpha.,7.beta.,8.beta.,8a.beta.)-",Does not have an individual approval but may be used under an appropriate group standard
13098-39-0,"2-Propanone, 1,1,1,3,3,3-hexafluoro-, hydrate (2:3)","Hexafluoroacetone, sesquihydrate",Does not have an individual approval but may be used under an appropriate group standard
1309865-12-0,"D-Glucopyranose, oligomeric, C10-16-alkyl glycosides, 3-(dimethyloctadecylammonio)-2-hydroxypropyl ethers, chlorides, polymers with 1,3-dichloro-2-propanol","D-Glucopyranose, oligomeric, C10-16-alkyl glycosides, 3-(dimethyloctadecylammonio)-2-hydroxypropyl ethers, chlorides, polymers with 1,3-dichloro-2-propanol",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1309865-14-2,"D-Glucopyranose, oligomeric, C10-16-alkyl glycosides,  3-(dodecyldimethylammonio)-2-hydroxypropyl ethers, chlorides, polymers with 1,3-dichloro-2-propanol",Polyquaternium-80,Does not have an individual approval but may be used under an appropriate group standard
1309959-24-7,"Fatty acids, sunflower-oil, conjugated, maleated","Fatty acids, sunflower-oil, conjugated, maleated",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
131013-81-5,"Methanaminium, N,N,N-trimethyl-, salt with 4,5-dihydro-5-oxo-1-(4-sulfophenyl)-4-[(4-sulfophenyl)azo]-1H-pyrazole-3-carboxylic acid (3:1)","Acid yellow 23, tetramethylammonium salt",Does not have an individual approval but may be used under an appropriate group standard
131013-82-6,"Xanthylium, 3,6-bis(diethylamino)-9-(2,4-disulfophenyl)-, inner salt, lithium salt","Xanthylium, 3,6-bis(diethylamino)-9-(2,4-disulfophenyl)-, inner salt, lithium salt",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
131013-83-7,"Methanaminium, N,N,N-trimethyl-, salt with 3,3'-[[6-[(2-hydroxyethyl)amino]-1,3,5-triazine-2,4-diyl]bis[imino(2-methyl-4,1-phenylene)azo]]bis[1,5-naphthalenedisulfonic acid] (4:1)","Direct yellow 96, tetramethylammonium salt",Does not have an individual approval but may be used under an appropriate group standard
1310-14-1,Goethite (Fe(OH)O),Goethite (Fe(OH)O),Does not have an individual approval but may be used under an appropriate group standard
13103-34-9,"Androsta-1,4-dien-3-one, 17-[(1-oxo-10-undecenyl)oxy]-, (17.beta.)-",Boldenone undecylenate,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1310-43-6,Iron phosphide (Fe2P),Iron Phosphide Fe2P,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
131044-77-4,"Copper, N-acetyl-L-tyrosine hydroxy-terminated (S)-[2-(acetylamino)-3-(4-hydroxyphenyl)-1-oxopropoxy] Me siloxanes complexes","Copper, N-acetyl-L-tyrosine hydroxy-terminated (S)-2-(acetylamino)-3-(4-hydroxyphenyl)-1-oxopropoxy Me siloxanes complexes",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
131044-78-5,"Copper, hydroxy-terminated Me (S)-[[(5-oxo-2-pyrrolidinyl)carbonyl]oxy] siloxanes 5-oxo-L-proline complexes","Copper, hydroxy-terminated Me (S)-(5-oxo-2-pyrrolidinyl)carbonyloxy siloxanes 5-oxo-L-proline complexes",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1310-45-8,Iron hydroxide sulfate (Fe4(OH)2(SO4)5),Iron hydroxide sulfate (Fe4(OH)2(SO4)5),Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1310-53-8,Germanium oxide (GeO2),Germanium oxide (GeO2),Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1310-58-3,Potassium hydroxide (K(OH)),Potassium hydroxide,HSNO Approval: HSR001546 Approved with controls
131060-86-1,"1-Propanamine, 3-(dibenz[b,e]oxepin-11(6H)-ylidene-1,2,3,4-d4)-N-methyl-, (Z)-","1-Propanamine, 3-(dibenzb,eoxepin-11(6H)-ylidene-1,2,3,4-d4)-N-methyl-, (Z)-",Does not have an individual approval but may be used under an appropriate group standard
131061-02-4,"1-Propanamine, 3-(dibenz[b,e]oxepin-11(6H)-ylidene-1,2,3,4-d4)-N-methyl-, (E)-","1-Propanamine, 3-(dibenzb,eoxepin-11(6H)-ylidene-1,2,3,4-d4)-N-methyl-, (E)-",Does not have an individual approval but may be used under an appropriate group standard
