CAS Number,CAS Name,Name,Approval
1918-02-1,"2-Pyridinecarboxylic acid, 4-amino-3,5,6-trichloro-",Picloram,Does not have an individual approval but may be used under an appropriate group standard
1920-05-4,"1-Dodecanamine, N,N-dimethyl-, acetate","1-Dodecanamine, N,N-dimethyl-, acetate",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1956-11-2,"Dodecanoic acid, 4-nitrophenyl ester","Dodecanoic acid, 4-nitrophenyl ester",Does not have an individual approval but may be used under an appropriate group standard
1968-05-4,"1H-Indole, 3,3'-methylenebis-","3,3 Diindolylmethane",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1972-08-3,"6H-Dibenzo[b,d]pyran-1-ol, 6a,7,8,10a-tetrahydro-6,6,9-trimethyl-3-pentyl-, (6aR,10aR)-",Delta-9-tetrahydrocannabinol,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1984-06-1,"Octanoic acid, sodium salt",Sodium octanoate,Does not have an individual approval but may be used under an appropriate group standard
2038-03-1,4-Morpholineethanamine,N-(2-Aminoethyl) morpholine,Does not have an individual approval but may be used under an appropriate group standard
2050-01-3,"Propanoic acid, 2-methyl-, 3-methylbutyl ester","Propanoic acid, 2-methyl-, 3-methylbutyl ester",Does not have an individual approval but may be used under an appropriate group standard
2050-09-1,"Pentanoic acid, 3-methylbutyl ester","Pentanoic acid, 3-methylbutyl ester",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2081-12-1,"2-Propanol, 2-methyl-, zirconium(4+) salt","2-Propanol, 2-methyl-, zirconium(4+) salt",Does not have an individual approval but may be used under an appropriate group standard
2090-05-3,"Benzoic acid, calcium salt",Calcium benzoate,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2095-01-4,"1,3-Benzenediamine, 4,6-diethyl-2-methyl-","1,3-Benzenediamine, 4,6-diethyl-2-methyl-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2095-02-5,"1,3-Benzenediamine, 2,4-diethyl-6-methyl-","1,3-Benzenediamine, 2,4-diethyl-6-methyl-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2095-03-6,"Oxirane, 2,2'-[methylenebis(4,1-phenyleneoxymethylene)]bis-","Oxirane, 2,2'-[methylenebis(4,1-phenyleneoxymethylene)]bis-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2127-03-9,"Pyridine, 2,2'-dithiobis-","Pyridine, 2,2'-dithiobis-",Does not have an individual approval but may be used under an appropriate group standard
2150-02-9,"Ethanethiol, 2,2'-oxybis-","Ethanethiol, 2,2'-oxybis-",Does not have an individual approval but may be used under an appropriate group standard
2157-01-9,"2-Propenoic acid, 2-methyl-, octyl ester","2-Propenoic acid, 2-methyl-, octyl ester",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2170-03-8,"2,5-Furandione, dihydro-3-methylene-","2,5-Furandione, dihydro-3-methylene-",Does not have an individual approval but may be used under an appropriate group standard
2184-11-4,"2-Naphthalenesulfonic acid, 7,7'-[[6-(4-morpholinyl)-1,3,5-triazine-2,4-diyl]diimino]bis[4-hydroxy-3-[(4-methoxy-2-sulfophenyl)azo]-, tetrasodium salt","2-Naphthalenesulfonic acid, 7,7'-[[6-(4-morpholinyl)-1,3,5-triazine-2,4-diyl]diimino]bis[4-hydroxy-3-[(4-methoxy-2-sulfophenyl)azo]-, tetrasodium salt",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2190-04-7,"1-Octadecanamine, acetate","1-Octadecanamine, acetate",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2208-05-1,"Benzoic acid, 2-(dimethylamino)ethyl ester","Benzoic acid, 2-(dimethylamino)ethyl ester",Does not have an individual approval but may be used under an appropriate group standard
2226-05-3,"Ethanol, 2-(3,3-dimethylbicyclo[2.2.1]hept-2-ylidene)-","Ethanol, 2-(3,3-dimethylbicyclo2.2.1hept-2-ylidene)-",Does not have an individual approval but may be used under an appropriate group standard
2238-07-5,"Oxirane, 2,2'-[oxybis(methylene)]bis-",Diglycidyl ether,Does not have an individual approval but may be used under an appropriate group standard
2244-07-7,Undecanenitrile,Undecanenitrile,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2244-11-3,"2,4,5,6(1H,3H)-Pyrimidinetetrone, monohydrate",Alloxan,Does not have an individual approval but may be used under an appropriate group standard
2257-09-2,"Benzene, (2-isothiocyanatoethyl)-","Benzene, (2-isothiocyanatoethyl)-",Does not have an individual approval but may be used under an appropriate group standard
2272-11-9,"9-Octadecenoic acid (9Z)-, compd. with 2-aminoethanol (1:1)","9-Octadecenoic acid (9Z)-, compd. with 2-aminoethanol (1:1)",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2274-11-5,"2-Propenoic acid, 1,2-ethanediyl ester","2-Propenoic acid, 1,2-ethanediyl ester",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2283-08-1,"1-Naphthalenecarboxylic acid, 2-hydroxy-","1-Naphthalenecarboxylic acid, 2-hydroxy-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2283-11-6,"Phosphorous triamide, hexaethyl-",Hexaethyltriaminophosphine,Does not have an individual approval but may be used under an appropriate group standard
2298-07-9,"1-Naphthalenamine, 4-bromo-","1-Naphthalenamine, 4-bromo-",Does not have an individual approval but may be used under an appropriate group standard
2303-01-7,"Phenol, 4,4'-(1,1-dioxido-3H-2,1-benzoxathiol-3-ylidene)bis[3-methyl-","Phenol, 4,4'-(1,1-dioxido-3H-2,1-benzoxathiol-3-ylidene)bis[3-methyl-",Does not have an individual approval but may be used under an appropriate group standard
2305-05-7,"2(3H)-Furanone, dihydro-5-octyl-","2(3H)-Furanone, dihydro-5-octyl-",Does not have an individual approval but may be used under an appropriate group standard
2315-02-8,"Phenol, 3-[(4,5-dihydro-1H-imidazol-2-yl)methyl]-6-(1,1-dimethylethyl)-2,4-dimethyl-, monohydrochloride",Oxymetazoline hydrochloride,Does not have an individual approval but may be used under an appropriate group standard
2321-07-5,"Spiro[isobenzofuran-1(3H),9'-[9H]xanthen]-3-one, 3',6'-dihydroxy-",Fluorescein,Does not have an individual approval but may be used under an appropriate group standard
2327-02-8,"Urea, (3,4-dichlorophenyl)-","Urea, (3,4-dichlorophenyl)-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2338-05-8,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, iron salt",Ferric citrate,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2349-07-7,"Propanoic acid, 2-methyl-, hexyl ester","Propanoic acid, 2-methyl-, hexyl ester",Does not have an individual approval but may be used under an appropriate group standard
2387-03-3,"1-Naphthalenecarboxaldehyde, 2-hydroxy-, [(2-hydroxy-1-naphthalenyl)methylene]hydrazone","1-Naphthalenecarboxaldehyde, 2-hydroxy-, (2-hydroxy-1-naphthalenyl)methylenehydrazone",Does not have an individual approval but may be used under an appropriate group standard
2425-06-1,"1H-Isoindole-1,3(2H)-dione, 3a,4,7,7a-tetrahydro-2-[(1,1,2,2-tetrachloroethyl)thio]-",Captafol,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2426-07-5,"Oxirane, 2,2'-(1,4-butanediyl)bis-","1,2,7,8-Diepoxyoctane",Does not have an individual approval but may be used under an appropriate group standard
2426-08-6,"Oxirane, (butoxymethyl)-",Butyl glycidyl ether,Does not have an individual approval but may be used under an appropriate group standard
2439-10-3,"Guanidine, dodecyl-, monoacetate",Dodine,HSNO Approval: HSR003128 Approved with controls
2442-10-6,"1-Octen-3-ol, acetate","1-Octen-3-ol, acetate",Does not have an individual approval but may be used under an appropriate group standard
2451-01-6,"Cyclohexanemethanol, 4-hydroxy-.alpha.,.alpha.,4-trimethyl-, monohydrate, cis-","Cyclohexanemethanol, 4-hydroxy-.alpha.,.alpha.,4-trimethyl-, monohydrate, cis-",Does not have an individual approval but may be used under an appropriate group standard
2452-01-9,"Dodecanoic acid, zinc salt","Dodecanoic acid, zinc salt",Does not have an individual approval but may be used under an appropriate group standard
2457-01-4,"Hexanoic acid, 2-ethyl-, barium salt","Hexanoic acid, 2-ethyl-, barium salt",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2457-02-5,"Hexanoic acid, 2-ethyl-, strontium salt","Hexanoic acid, 2-ethyl-, strontium salt",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2459-05-4,"2-Butenedioic acid (2E)-, monoethyl ester","2-Butenedioic acid (2E)-, monoethyl ester",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2466-09-3,Diphosphoric acid,Diphosphoric acid,Does not have an individual approval but may be used under an appropriate group standard
2467-02-9,"Phenol, 2,2'-methylenebis-","Phenol, 2,2'-methylenebis-",Does not have an individual approval but may be used under an appropriate group standard
2474-02-4,"Tetrasiloxane, 1,7-dichloro-1,1,3,3,5,5,7,7-octamethyl-","Tetrasiloxane, 1,7-dichloro-1,1,3,3,5,5,7,7-octamethyl-",Does not have an individual approval but may be used under an appropriate group standard
2478-10-6,"2-Propenoic acid, 4-hydroxybutyl ester","2-Propenoic acid, 4-hydroxybutyl ester",Does not have an individual approval but may be used under an appropriate group standard
2489-05-6,"Docosanoic acid, silver(1+) salt","Docosanoic acid, silver(1+) salt",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2491-06-7,"Glycine, N,N-dimethyl-, hydrochloride","Glycine, N,N-dimethyl-, hydrochloride",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2530-10-1,"Ethanone, 1-(2,5-dimethyl-3-thienyl)-","Ethanone, 1-(2,5-dimethyl-3-thienyl)-",Does not have an individual approval but may be used under an appropriate group standard
2536-05-2,"Benzene, 1,1'-methylenebis[2-isocyanato-","Benzene, 1,1'-methylenebis[2-isocyanato-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2550-02-9,Triethoxypropylsilane,Triethoxypropylsilane,Does not have an individual approval but may be used under an appropriate group standard
2550-06-3,"Silane, trichloro(3-chloropropyl)-","Silane, trichloro(3-chloropropyl)-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2554-06-5,"Cyclotetrasiloxane, 2,4,6,8-tetraethenyl-2,4,6,8-tetramethyl-","Cyclotetrasiloxane, 2,4,6,8-tetraethenyl-2,4,6,8-tetramethyl-",Does not have an individual approval but may be used under an appropriate group standard
2555-05-7,"2-Pyrrolidinone, 3-methyl-","2-Pyrrolidinone, 3-methyl-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2556-10-7,"Benzene, [2-(1-ethoxyethoxy)ethyl]-","Benzene, [2-(1-ethoxyethoxy)ethyl]-",Does not have an individual approval but may be used under an appropriate group standard
2563-07-7,"Phenol, 2-ethoxy-4-methyl-","Phenol, 2-ethoxy-4-methyl-",Does not have an individual approval but may be used under an appropriate group standard
2569-01-9,"Acetic acid, (2,4-dichlorophenoxy)-, compd. with 2,2',2''-nitrilotris[ethanol] (1:1)","2,4-D triethanolamine",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2595-07-5,".beta.-D-Galactopyranoside, 2-propenyl",".beta.-D-Galactopyranoside, 2-propenyl",Does not have an individual approval but may be used under an appropriate group standard
2599-01-1,"Tetradecanoic acid, hexadecyl ester","Tetradecanoic acid, hexadecyl ester",Does not have an individual approval but may be used under an appropriate group standard
2608-11-9,"1H-Azepine-1-carbodithioic acid, hexahydro-, compd. with hexahydro-1H-azepine (1:1)","1H-Azepine-1-carbodithioic acid, hexahydro-, compd. with hexahydro-1H-azepine (1:1)",Does not have an individual approval but may be used under an appropriate group standard
2610-05-1,"1,3-Naphthalenedisulfonic acid, 6,6'-[(3,3'-dimethoxy[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[4-amino-5-hydroxy-, tetrasodium salt",C.I. Direct Blue 1,Does not have an individual approval but may be used under an appropriate group standard
2610-10-8,"2-Naphthalenesulfonic acid, 7,7'-(carbonyldiimino)bis[4-hydroxy-3-[[2-sulfo-4-[(4-sulfophenyl)azo]phenyl]azo]-, hexasodium salt","2-Naphthalenesulfonic acid, 7,7'-(carbonyldiimino)bis[4-hydroxy-3-[[2-sulfo-4-[(4-sulfophenyl)azo]phenyl]azo]-, hexasodium salt",Does not have an individual approval but may be used under an appropriate group standard
2610-11-9,"2-Naphthalenesulfonic acid, 7-(benzoylamino)-4-hydroxy-3-[[4-[(4-sulfophenyl)azo]phenyl]azo]-, disodium salt","2-Naphthalenesulfonic acid, 7-(benzoylamino)-4-hydroxy-3-4-(4-sulfophenyl)azophenylazo-, disodium salt",Does not have an individual approval but may be used under an appropriate group standard
2612-02-4,"Benzoic acid, 2-hydroxy-5-methoxy-","Benzoic acid, 2-hydroxy-5-methoxy-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2622-05-1,"Magnesium, chloro-2-propenyl-","Magnesium, chloro-2-propenyl-",Does not have an individual approval but may be used under an appropriate group standard
2645-08-1,"L-Arginine, N2-benzoyl-, ethyl ester, monohydrochloride","L-Arginine, N2-benzoyl-, ethyl ester, monohydrochloride",Does not have an individual approval but may be used under an appropriate group standard
2671-01-4,"Acetamide, N-[5-bromo-2,3,4,6-tetrakis(acetyloxy)cyclohexyl]-, (1.alpha.,2.beta.,3.beta.,4.alpha.,5.beta.,6.alpha.)-","Acetamide, N-5-bromo-2,3,4,6-tetrakis(acetyloxy)cyclohexyl-, (1.alpha.,2.beta.,3.beta.,4.alpha.,5.beta.,6.alpha.)-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2680-03-7,"2-Propenamide, N,N-dimethyl-","2-Propenamide, N,N-dimethyl-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2687-12-9,"Benzene, (3-chloro-1-propenyl)-","Benzene, (3-chloro-1-propenyl)-",Does not have an individual approval but may be used under an appropriate group standard
2699-11-8,"Hydroperoxide, cyclohexylidenebis-","Hydroperoxide, cyclohexylidenebis-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2719-08-6,"Benzoic acid, 2-(acetylamino)-, methyl ester","Benzoic acid, 2-(acetylamino)-, methyl ester",Does not have an individual approval but may be used under an appropriate group standard
2728-04-3,"Benzamide, N,N-diethyl-2-methyl-","Benzamide, N,N-diethyl-2-methyl-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2735-04-8,"Benzenamine, 2,4-dimethoxy-","2,4-Dimethoxyaniline",Does not have an individual approval but may be used under an appropriate group standard
2758-06-7,"Ethanaminium, 2-bromo-N,N,N-trimethyl-, bromide",(2-Bromoethyl) trimethylammonium bromide,Does not have an individual approval but may be used under an appropriate group standard
2768-02-7,"Silane, ethenyltrimethoxy-",Trimethoxyvinylsilane,Does not have an individual approval but may be used under an appropriate group standard
2781-10-4,"Stannane, dibutylbis[(2-ethyl-1-oxohexyl)oxy]-","Stannane, dibutylbis[(2-ethyl-1-oxohexyl)oxy]-",Does not have an individual approval but may be used under an appropriate group standard
2781-11-5,"Phosphonic acid, P-[[bis(2-hydroxyethyl)amino]methyl]-, diethyl ester","Phosphonic acid, P-[[bis(2-hydroxyethyl)amino]methyl]-, diethyl ester",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2782-07-2,"D-Galactonic acid, .gamma.-lactone","D-Galactonic acid, .gamma.-lactone",Does not have an individual approval but may be used under an appropriate group standard
2834-05-1,"Undecanoic acid, 11-bromo-","Undecanoic acid, 11-bromo-",Does not have an individual approval but may be used under an appropriate group standard
2835-06-5,"Benzeneacetic acid, .alpha.-amino-","Benzeneacetic acid, .alpha.-amino-",Does not have an individual approval but may be used under an appropriate group standard
2861-02-1,"2,6-Anthracenedisulfonic acid, 4,8-diamino-9,10-dihydro-1,5-dihydroxy-9,10-dioxo-, disodium salt","2,6-Anthracenedisulfonic acid, 4,8-diamino-9,10-dihydro-1,5-dihydroxy-9,10-dioxo-, disodium salt",Does not have an individual approval but may be used under an appropriate group standard
2870-04-4,"Benzene, 2-ethyl-1,3-dimethyl-","Benzene, 2-ethyl-1,3-dimethyl-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2871-01-4,"Ethanol, 2-[(4-amino-2-nitrophenyl)amino]-","Ethanol, 2-[(4-amino-2-nitrophenyl)amino]-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2898-11-5,"1H-1,4-Benzodiazepine, 7-chloro-2,3-dihydro-1-methyl-5-phenyl-, monohydrochloride","1H-1,4-Benzodiazepine, 7-chloro-2,3-dihydro-1-methyl-5-phenyl-, monohydrochloride",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2944-06-1,"2-Butenedioic acid (2Z)-, monohexadecyl ester","2-Butenedioic acid (2Z)-, monohexadecyl ester",Does not have an individual approval but may be used under an appropriate group standard
2956-12-9,"Carbonodithioic acid, O-pentyl S-2-propenyl ester","Carbonodithioic acid, O-pentyl S-2-propenyl ester",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3030-06-6,"1H-Indol-3-ol, 1-acetyl-5-bromo-4-chloro-, acetate (ester)","1H-Indol-3-ol, 1-acetyl-5-bromo-4-chloro-, acetate (ester)",Does not have an individual approval but may be used under an appropriate group standard
3076-04-8,"2-Propenoic acid, tridecyl ester",Tridecyl acrylate,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3077-12-1,"Ethanol, 2,2'-[(4-methylphenyl)imino]bis-","Ethanol, 2,2'-[(4-methylphenyl)imino]bis-",Does not have an individual approval but may be used under an appropriate group standard
3081-01-4,"1,4-Benzenediamine, N-(1,4-dimethylpentyl)-N'-phenyl-","1,4-Benzenediamine, N-(1,4-dimethylpentyl)-N'-phenyl-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3097-08-3,"Sulfuric acid, monododecyl ester, magnesium salt","Sulfuric acid, monododecyl ester, magnesium salt",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3100-04-7,"Cyclopropene, 1-methyl-",1-methylcyclopropene,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3102-08-7,"Benzenepropanamide, .alpha.-(acetylamino)-4-hydroxy-N-(4-nitrophenyl)-, (.alpha.S)-",S)-2-Acetamido-3-(p-hydroxyphenyl)-N-(p-nitrophenyl)propionamide,Does not have an individual approval but may be used under an appropriate group standard
3207-12-3,"1-Propanol, 2-amino-2-methyl-, hydrochloride","1-Propanol, 2-amino-2-methyl-, hydrochloride",Does not have an individual approval but may be used under an appropriate group standard
3228-02-2,"Phenol, 3-methyl-4-(1-methylethyl)-","Phenol, 3-methyl-4-(1-methylethyl)-",Does not have an individual approval but may be used under an appropriate group standard
3240-09-3,"5-Hexen-2-one, 5-methyl-","5-Hexen-2-one, 5-methyl-",Does not have an individual approval but may be used under an appropriate group standard
3285-10-7,"Phosphorodithioic acid, S-(2,3-epithiopropyl) O-(2-ethylbutyl) O-octadecyl ester","Phosphorodithioic acid, S-(2,3-epithiopropyl) O-(2-ethylbutyl) O-octadecyl ester",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3287-06-7,"Phosphorous acid, decyl diphenyl ester","Phosphorous acid, decyl diphenyl ester",Does not have an individual approval but may be used under an appropriate group standard
3302-10-1,"Hexanoic acid, 3,5,5-trimethyl-","Hexanoic acid, 3,5,5-trimethyl-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3316-09-4,"1,2-Benzenediol, 4-nitro-",4-Nitrocatechol,HSNO Approval: HSR007141 Approved with controls
3321-10-6,"Phenol, 2,2'-[(phenylmethylene)bis[(2,5-dimethyl-4,1-phenylene)azo]]bis[4-methyl-","Phenol, 2,2'-[(phenylmethylene)bis[(2,5-dimethyl-4,1-phenylene)azo]]bis[4-methyl-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3338-04-3,"2H-Azepine, 7-ethyl-3,4,5,6-tetrahydro-","2H-Azepine, 7-ethyl-3,4,5,6-tetrahydro-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3349-06-2,"Formic acid, nickel(2+) salt (2:1)",Nickel (II) Formate,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3351-05-1,"1-Naphthalenesulfonic acid, 8-(phenylamino)-5-[[4-[(3-sulfophenyl)azo]-1-naphthalenyl]azo]-, disodium salt","1-Naphthalenesulfonic acid, 8-(phenylamino)-5-4-(3-sulfophenyl)azo-1-naphthalenylazo-, disodium salt",Does not have an individual approval but may be used under an appropriate group standard
3374-05-8,"1,8-Naphthyridine-3-carboxylic acid, 1-ethyl-1,4-dihydro-7-methyl-4-oxo-, sodium salt","1,8-Naphthyridine-3-carboxylic acid, 1-ethyl-1,4-dihydro-7-methyl-4-oxo-, sodium salt",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3388-04-3,"Silane, trimethoxy[2-(7-oxabicyclo[4.1.0]hept-3-yl)ethyl]-","Silane, trimethoxy2-(7-oxabicyclo4.1.0hept-3-yl)ethyl-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3445-11-2,"2-Pyrrolidinone, 1-(2-hydroxyethyl)-","2-Pyrrolidinone, 1-(2-hydroxyethyl)-",Does not have an individual approval but may be used under an appropriate group standard
3452-07-1,1-Eicosene,1-Eicosene,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3473-11-8,"Formaldehyde, oxime, hydrochloride","Formaldehyde, oxime, hydrochloride",Does not have an individual approval but may be used under an appropriate group standard
3481-02-5,"Methanone, cyclopropylphenyl-","Methanone, cyclopropylphenyl-",Does not have an individual approval but may be used under an appropriate group standard
3481-12-7,"Naphthalene, radical ion(1-), sodium (1:1)",Sodium naphthalide,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3483-11-2,"Butanoic acid, 3-oxo-, lithium salt (1:1)",Lithium acetoacetate,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3483-12-3,"2,3-Butanediol, 1,4-dimercapto-, (2R,3R)-rel-","1,4-Dithiothreitol",Does not have an individual approval but may be used under an appropriate group standard
3529-01-9,"1-Naphthalenesulfonic acid, 8-[(4-methylphenyl)amino]-5-[[4-[(3-sulfophenyl)azo]-1-naphthalenyl]azo]-, disodium salt","1-Naphthalenesulfonic acid, 8-(4-methylphenyl)amino-5-4-(3-sulfophenyl)azo-1-naphthalenylazo-, disodium salt",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3564-09-8,"2,7-Naphthalenedisulfonic acid, 3-hydroxy-4-[(2,4,5-trimethylphenyl)azo]-, disodium salt",C.I. Food Red 6,Does not have an individual approval but may be used under an appropriate group standard
3572-06-3,"2-Butanone, 4-[4-(acetyloxy)phenyl]-",4-4-(Acetyloxy)phenyl-2-butanone,Does not have an individual approval but may be used under an appropriate group standard
3608-11-5,"Ethanone, 1-(4,7,7-trimethylbicyclo[4.1.0]hept-4-en-3-yl)-","Ethanone, 1-(4,7,7-trimethylbicyclo4.1.0hept-4-en-3-yl)-",Does not have an individual approval but may be used under an appropriate group standard
3625-02-3,"2-Phenanthrenol, 4b,5,6,7,8,8a-hexahydro-4b,8,8-trimethyl-1-(1-methylethyl)-, (4bS,8aS)-","2-Phenanthrenol, 4b,5,6,7,8,8a-hexahydro-4b,8,8-trimethyl-1-(1-methylethyl)-, (4bS,8aS)-",Does not have an individual approval but may be used under an appropriate group standard
3650-09-7,"4a(2H)-Phenanthrenecarboxylic acid, 1,3,4,9,10,10a-hexahydro-5,6-dihydroxy-1,1-dimethyl-7-(1-methylethyl)-, (4aR,10aS)-","4a(2H)-Phenanthrenecarboxylic acid, 1,3,4,9,10,10a-hexahydro-5,6-dihydroxy-1,1-dimethyl-7-(1-methylethyl)-, (4aR,10aS)-",Does not have an individual approval but may be used under an appropriate group standard
3651-02-3,"1-Naphthalenol, 4-(phenylazo)-","1-Naphthalenol, 4-(phenylazo)-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3669-02-1,"Distannoxane, 1,1,3,3-tetrabutyl-1,3-bis[(1-oxododecyl)oxy]-","Distannoxane, 1,1,3,3-tetrabutyl-1,3-bis(1-oxododecyl)oxy-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3674-09-7,"Propanoic acid, 2,3-dichloro-, methyl ester","Propanoic acid, 2,3-dichloro-, methyl ester",Does not have an individual approval but may be used under an appropriate group standard
3680-02-2,"Ethene, (methylsulfonyl)-",Methyl vinyl sulphone,HSNO Approval: HSR004560 Approved with controls
3683-12-3,"2-Propenoic acid, 2-methyl-, 2-phenylethyl ester","2-Propenoic acid, 2-methyl-, 2-phenylethyl ester",Does not have an individual approval but may be used under an appropriate group standard
3737-09-5,"2-Pyridineacetamide, .alpha.-[2-[bis(1-methylethyl)amino]ethyl]-.alpha.-phenyl-",Disopyramide,Does not have an individual approval but may be used under an appropriate group standard
3744-02-3,"4-Penten-2-one, 4-methyl-","4-Penten-2-one, 4-methyl-",Does not have an individual approval but may be used under an appropriate group standard
3811-04-9,"Chloric acid, potassium salt","Chloric acid, potassium salt",HSNO Approval: HSR001337 Approved with controls
3842-03-3,"Butane, 1,1-diethoxy-3-methyl-","Butane, 1,1-diethoxy-3-methyl-",Does not have an individual approval but may be used under an appropriate group standard
3882-06-2,"Cyclohexanamine, N-cyclohexyl-, nitrate",Dicyclohexylammonium nitrate,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3896-11-5,"Phenol, 2-(5-chloro-2H-benzotriazol-2-yl)-6-(1,1-dimethylethyl)-4-methyl-",Bumetrizole,Does not have an individual approval but may be used under an appropriate group standard
3900-04-7,"Phosphoric acid, monohexyl ester","Phosphoric acid, monohexyl ester",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3913-02-8,"1-Octanol, 2-butyl-","1-Octanol, 2-butyl-",Does not have an individual approval but may be used under an appropriate group standard
3990-03-2,"2-Butenedioic acid (2Z)-, monoethyl ester","2-Butenedioic acid (2Z)-, monoethyl ester",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
3999-01-7,"9,12-Octadecadienamide, (9Z,12Z)-","9,12-Octadecadienamide, (9Z,12Z)-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
