CR No.,CAS No,Chemical Name,AICIS Approved Chemical Name (AACN),Molecular Formula,Defined Scope Of Assessment,Conditions Of Use,Specific Information Requirement,Prescribed Information
10004,6147-37-1,"2-Naphthalenesulfonic acid, 1,2,3,4-tetrahydro-2-methyl-1,4-dioxo-, sodium salt, trihydrate",,C11H10O5S.3H2O.Na,,,,
10005,6147-53-1,"Acetic acid, cobalt(2+) salt, tetrahydrate",,C2H4O2.1/2Co.2H2O,,,,
10006,6148-34-1,"3-Furancarboxylic acid, 2,5-dimethyl-, methyl ester",,C8H10O3,,,,
10007,6151-25-3,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-, dihydrate",,C15H10O7.2H2O,,,,
10008,6152-33-6,"[1,1'-Biphenyl]-2-ol, sodium salt, tetrahydrate",,C12H10O.4H2O.Na,,,,
10009,6152-67-6,"Benzenesulfonic acid, 4-(phenylamino)-, monosodium salt",,C12H11NO3S.Na,,,,
1001,77-49-6,"1,3-Propanediol, 2-methyl-2-nitro-",,C4H9NO4,,,,
10010,6153-39-5,"1,3-Benzenediol, 5-methyl, monohydrate",,C7H8O2.H2O,,,,
10011,6153-56-6,"Ethanedioic acid, dihydrate",,C2H2O4.2H2O,,,,
10013,6155-57-3,"1,2-Benzisothiazol-3(2H)-one, 1,1-dioxide, sodium salt, dihydrate",,C7H5NO3S.2H2O.Na,,,,
10014,6156-78-1,"Acetic acid, manganese(2+) salt, tetrahydrate",,C2H4O2.2H2O.1/2Mn,,,,
10015,6159-44-0,"Uranium, bis(acetato-O)dioxo-, dihydrate",,C4H6O6U.2H2O,,,,
10017,6160-65-2,"1H-Imidazole, 1,1'-carbonothioylbis-",,C7H6N4S,,,,
10018,6160-80-1,".beta.-D-Glucopyranosiduronic acid, 4-methyl-2-oxo-2H-1-benzopyran-7-yl",,C16H16O9,,,,
1002,77-52-1,"Urs-12-en-28-oic acid, 3-hydroxy-, (3.beta.)-",,C30H48O3,,,,
10020,6165-51-1,"Benzene, 1,4-dimethyl-2-(1-phenylethyl)-",,C16H18,,,,
10021,6165-52-2,"Benzene, 2,4-dimethyl-1-(1-phenylethyl)-",,C16H18,,,,
10022,6166-86-5,"Cyclopentasiloxane, 2,4,6,8,10-pentamethyl-",,C5H20O5Si5,,,,
10023,6168-72-5,"1-Propanol, 2-amino-, (.+-.)-",,C3H9NO,,,,
10024,6169-06-8,"2-Octanol, (S)-",,C8H18O,,,,
10025,6175-45-7,"Ethanone, 2,2-diethoxy-1-phenyl-",,C12H16O3,,,,
10026,6175-49-1,2-Dodecanone,,C12H24O,,,,
10027,6178-32-1,"Oxirane, [(4-nonylphenoxy)methyl]-",,C18H28O2,,,,
10028,6179-44-8,"1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3-[(1-oxooctadecyl)amino]-, hydroxide, inner salt",,C25H50N2O3,,,,
10029,6182-11-2,"Octadecanoic acid, 1-methyl-1,2-ethanediyl ester",,C39H76O4,,,,
1003,77-53-2,"1H-3a,7-Methanoazulen-6-ol, octahydro-3,6,8,8-tetramethyl-,[3R-(3.alpha.,3a.beta.,6.alpha.,7.beta.,8a.alpha.)]-",,C15H26O,,,,
10030,6183-68-2,"Cinchonan-9-ol, 6'-methoxy-, (8.alpha.,9R)-, sulfate (1:1) (salt), heptahydrate",,C20H24N2O2.H2O4S.7H2O,,,,
10033,6192-44-5,"Ethanol, 2-phenoxy-, acetate",,C10H12O3,,,,
