CR No.,CAS No,Chemical Name,AICIS Approved Chemical Name (AACN),Molecular Formula,Defined Scope Of Assessment,Conditions Of Use,Specific Information Requirement,Prescribed Information
14008,14541-90-3,"2-Anthracenesulfonic acid, 1-amino-4-[[3-(ethenylsulfonyl)phenyl]amino]-9,10-dihydro-9,10-dioxo-, monosodium salt",,C22H16N2O7S2.Na,,,,
14009,14542-23-5,Fluorite (CaF2),,CaF2,,,,
1401,116-26-7,"1,3-Cyclohexadiene-1-carboxaldehyde, 2,6,6-trimethyl-",,C10H14O,,,,
14010,14548-60-8,"Methanol, (phenylmethoxy)-",,C8H10O2,,,,
14011,14548-63-1,"Phosphorodithioic acid, O-(2-methylpropyl) O-pentyl ester, zinc salt",,C18H40O4P2S4Zn,,,,
14012,14567-64-7,Kieserite,,H2O4S.H2O.Mg,,,,
14013,14567-73-8,Tremolite(Ca2((Mg0.9-1Fe0-0.1)4.5-5Al0-0.5)(Si7.5-8Al0-0.5)(OH)2O22),,Al.Ca.Fe.HO3Si.Mg.O3Si.O,,,,
14014,14569-54-1,"Butanamide, 2,2'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(2-chlorophenyl)-3-oxo-",,C32H24Cl4N6O4,,,,
14015,14575-92-9,"3-Oxatricyclo[4.1.1.02,4]octane, 2,7,7-trimethyl-, [1S-(1.alpha.,2.alpha.,4.alpha.,6.alpha.)]-",,C10H16O,,,,
14016,14576-08-0,"Cyclohexene, 4-(1-methoxy-1-methylethyl)-1-methyl-",,C11H20O,,,,
14017,14590-13-7,"Phosphoric acid, ammonium cobalt(2+) salt (1:1:1)",,Co.H3N.H3O4P,,,,
14018,14593-43-2,"Benzene, [(2-propenyloxy)methyl]-",,C10H12O,,,,
14019,14593-46-5,"2-Butanol, 2-methyl-, sodium salt",,C5H12O.Na,,,,
14021,14617-92-6,"Butanoic acid, 4-methylphenyl ester",,C11H14O2,,,,
14022,14618-10-1,"3H-1,2-Benzoxathiole, 5-nitro-, 2,2-dioxide",,C7H5NO5S,,,,
14023,14618-61-2,"Propanoic acid, 2,2'-oxybis-, diethyl ester, (R*,R*)-(.+-.)-",,C10H18O5,,,,
14024,14620-52-1,"Lauraldehyde, dimethyl acetal",,C14H30O2,,,,
14025,14622-13-0,"Dodecanoic acid, lithium salt",,C12H24O2.Li,,,,
14026,14634-93-6,"Zinc, bis(ethylphenylcarbamodithioato-S,S')-, (T-4)-",,C18H20N2S4Zn,,,,
14027,67952-28-7,"Magnesium, bis(8-quinolinolato-.kappa.N1,.kappa.O8)-, (T-4)-",,C18H12MgN2O2,,,,
14028,14639-97-5,"Zincate(2-), tetrachloro-, diammonium, (T-4)-",,Cl4Zn.2H4N,,,,
14029,14639-98-6,"Zincate(3-), pentachloro-, triammonium",,Cl5Zn.3H4N,,,,
1403,116-37-0,"2-Propanol, 1,1'-[(1-methylethylidene)bis(4,1-phenyleneoxy)]bis-",,C21H28O4,,,,
14030,14643-87-9,"2-Propenoic acid, zinc salt (2:1)",,C3H4O2.1/2Zn,,,,
14031,14644-61-2,"Sulfuric acid, zirconium(4+) salt (2:1)",,H2O4S.1/2Zr,,,,
14032,14653-91-9,"Benzenesulfonamide, 4-methyl-N-(methylsulfonyl)-",,C8H11NO4S2,,,,
14033,14656-06-5,"1H-Indene, 1,1,3,5-tetramethyl-",,C13H16,,,,
14034,14666-78-5,"Peroxydicarbonic acid, diethyl ester",,C6H10O6,,,,
14035,14666-96-7,"9,12-Octadecadienoic acid, (Z,Z)-, cobalt salt",,C18H32O2.xCo,,,,
14036,14667-55-1,"Pyrazine, trimethyl-",,C7H10N2,,,,
14037,14676-61-0,"1-Propanamine, 3-(tridecyloxy)-",,C16H35NO,,,,
14038,14689-45-3,"Cadmium, bis(2,4-pentanedionato-O,O')-, (T-4)-",,C10H14CdO4,,,,
14039,14692-29-6,"Acetic acid, strontium salt, hemihydrate",,C2H4O2.1/4H2O.1/2Sr,,,,
14040,14692-76-3,"Cuprate(4-), [3-[[8-[(4-amino-6-chloro-1,3,5-triazin-2-yl)amino]-1-hydroxy-3,6-disulfo-2-naphthalenyl]azo]-4-hydroxy-1,5-naphthalenedisulfonato(6-)]-, tetrasodium",,C23H10ClCuN7O14S4.4Na,,,,
14041,14696-66-3,"Diphosphoric acid, aluminium salt (3:4)",,Al.3/4H4O7P2,,,,
14042,14697-50-8,"1,3,2-Dioxaborinane, 2,2'-oxybis[4,4,6-trimethyl-",,C12H24B2O5,,,,
14044,14706-41-3,"Benzenesulfonamide, 4-methyl-N-(phenylsulfonyl)-",,C13H13NO4S2,,,,
14045,14708-11-3,"Borate(1-), tetrafluoro-, copper(1+)",,BF4.Cu,,,,
14046,14708-14-6,"Borate(1-), tetrafluoro-, nickel(2+) (2:1)",,BF4.1/2Ni,,,,
14047,14719-68-7,"2-Cyclopentene-1-acetic acid, vinyl ester",,C9H12O2,,,,
14048,14720-53-7,"Boric acid (HBO2), lead(2+) salt",,BHO2.1/2Pb,,,,
14049,14726-28-4,"Benzenediazonium, 4-(benzoylamino)-2-methoxy-5-methyl-, (T-4)-tetrachlorozincate(2-) (2:1)",,C15H14N3O2.1/2Cl4Zn,,,,
1405,116-53-0,"Butanoic acid, 2-methyl-",,C5H10O2,,,,
14050,14726-36-4,"Zinc, bis[bis(phenylmethyl)carbamodithioato-S,S']-, (T-4)-",,C30H28N2S4Zn,,,,
14051,14727-47-0,"1,4-Methanoazulen-2(1H)-one, octahydro-4,8,8,9-tetramethyl-",,C15H24O,,,,
14052,14727-68-5,"9-Octadecen-1-amine, N,N-dimethyl-, (Z)-",,C20H41N,,,,
14053,14729-89-6,"Ferrate(2-), [[N,N′-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, sodium (1:2), (OC-6-21)-",,C10H12FeN2O8.2Na,,,,
14054,14730-30-4,"3H-Pyrazol-3-one, 4-[(4-chloro-2-nitrophenyl)azo]-2,4-dihydro-5-methyl-",,C10H8ClN5O3,,,,
14055,14735-72-9,"Benzoic acid, 2-[[(4-methoxyphenyl)methylene]amino]-, methyl ester",,C16H15NO3,,,,
14056,14737-80-5,"1H-Isoindole-1,3(2H)-dione, 4,5,6,7-tetrachloro-2-methyl-",,C9H3Cl4NO2,,,,
14057,14743-21-6,"Phosphoramidothioic acid, ethyl-, O,O-dimethyl ester",,C4H12NO2PS,,,,
14058,14751-97-4,"Benzenediazonium, 4-[ethyl(2-hydroxyethyl)amino]-, (T-4)-tetrachlorozincate(2-) (2:1)",,C10H14N3O.1/2Cl4Zn,,,,
14059,14762-38-0,N-[(alpha)-(1-nitroethyl) benzyl] ethylene-diamine potassium salt,,,,,,
1406,116-63-2,"1-Naphthalenesulfonic acid, 4-amino-3-hydroxy-",,C10H9NO4S,,,,
14060,14762-49-3,Gibbsite (Al(OH)3),,AlH3O3,,,,
14061,14762-51-7,Halite (NaCl),,ClNa,,,,
14062,14764-02-4,"2-Imidazolidinethione, 1,1'-(1,4-piperazinediyldimethylene)di-",,C12H22N6S2,,,,
14063,14765-30-1,"Cyclohexanone, 2-(1-methylpropyl)-",,C10H18O,,,,
14064,14767-37-4,"Vanadium, oxobis(1-phenyl-1,3-butanedionato-O,O')-",,C20H18O5V,,,,
14067,14779-78-3,"Benzoic acid, 4-(dimethylamino)-, pentyl ester",,C14H21NO2,,,,
14068,14782-75-3,"Aluminium, (ethyl 3-oxobutanoato-O1',O3)bis(2-propanolato)-, (T-4)-",,C12H23AlO5,,,,
14069,14796-93-1,"Dodecanoic acid, strontium salt",,C12H24O2.1/2Sr,,,,
1407,116-66-5,"1H-Indene, 2,3-dihydro-1,1,3,3,5-pentamethyl-4,6-dinitro-",,C14H18N2O4,,,,
14071,14799-93-0,"Silane, dichloromethyloctyl-",,C9H20Cl2Si,,,,
14072,14802-03-0,"Phosphonic acid, (2-ethylhexyl)-, mono(2-ethylhexyl) ester",,C16H35O3P,,,,
14073,14807-96-6,Talc (Mg3H2(SiO3)4),,H2O3Si.3/4Mg,,,,
14074,14808-60-7,Quartz (SiO2),,O2Si,,,,
14076,14814-09-6,"1-Propanethiol, 3-(triethoxysilyl)-",,C9H22O3SSi,,,,
14077,14815-59-9,"Phenolphthalein, mono(dihydrogen phosphate), compound with cyclohexylamine (1:2)",,C20H15O7P.2C6H13N,,,,
14079,14818-35-0,"2H-Pyran-2-one, 6-cyclohexyl-4-methyl-",,C12H16O2,,,,
1408,116-71-2,"Dinaphtho[1,2,3-cd:3',2',1'-lm]perylene-5,10-dione",,C34H16O2,,,,
14080,14826-66-5,"Zinc, diamminedichloro-, (T-4)-",,Cl2H6N2Zn,,,,
14081,14832-14-5,"Copper, [1,2,3,4,8,9,10,11,15,16,17,18,22,23,24,25-hexadecachloro-29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, (SP-4-1)-",,C32Cl16CuN8,,,,
14082,14836-60-3,"Nitric acid, mercury(1+)salt, dihydrate",,H2O.1/2HNO3.1/2Hg,,,,
14084,14840-89-2,"13-Oxabicyclo[10.1.0]trideca-4,8-diene, 2,6,10-trimethyl-",,C15H24O,,,,
14085,14845-53-5,"Cyclopentanone, 2-ethylidene-",,C7H10O,,,,
14086,14855-76-6,"Benzenaminium, 4-[[4-(dimethylamino)phenyl][4-(dimethyliminio)-2,5-cyclohexadien-1-ylidene]methyl]-N-ethyl-N,N-dimethyl-, bromide chloride",,C27H35N3.Br.Cl,,,,
14087,14857-34-2,"Silane, ethoxydimethyl-",,C4H12OSi,,,,
14088,14857-90-0,"2-Naphthalenesulfonic acid, 6,6'-methylenebis-, disodium salt",,C21H16O6S2.2Na,,,,
14089,14857-92-2,"1-Propanethiol, 3-(dimethoxymethylsilyl)-2-methyl-",,C7H18O2SSi,,,,
1409,116-75-6,"9,10-Anthracenedione, 1,4-bis[(2,4,6-trimethylphenyl)amino]-",,C32H30N2O2,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
14090,14857-97-7,"1-Propanethiol, 3-(methoxydimethylsilyl)-",,C6H16OSSi,,,,
14091,14860-53-8,"Phosphonic acid, (1-hydroxyethylidene)bis-, tetrapotassium salt",,C2H8O7P2.4K,,,,
14092,14866-25-2,"Phenol, 2,4,6-trinitro-, iron(2+) salt",,C6H3N3O7.1/2Fe,,,,
14093,14866-33-2,"1-Octanaminium, N,N,N-trioctyl-, bromide",,C32H68N.Br,,,,
14094,14873-92-8,"Platinum, dichlorobis[1,1'-thiobis[ethane]]-",,C8H20Cl2PtS2,,,,
14096,14878-44-5,"Triethylenetetramine, 3,8-dimethyl-, L-(+)-",,C8H22N4,,,,
14097,14882-18-9,"Bismuth, (2-hydroxybenzoato-O1,O2)oxo-",,C7H5BiO4,,,,
14098,14883-34-2,"Ferrate(3-), tris[ethanedioato(2-)-O,O']-, tripotassium, (OC-6-11)-",,C6FeO12.3K,,,,
14099,14901-07-6,"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",,C13H20O,,,,
141,,"Isobutylmethacrylate, polymer with Isophthalic acid, Linseed oil, Tricyclodecylmethylacrylate and Trimethylolpropane",,,,,,
1410,116-82-5,"9,10-Anthracenedione, 1-amino-2-bromo-4-hydroxy-",,C14H8BrNO3,,,,
14100,14906-97-9,"D-Gluconic acid, sodium salt",,C6H12O7.xNa,,,,
14101,14923-81-0,"Eicosanoic acid, cadmium salt",,C20H40O2.1/2Cd,,,,
14102,14926-08-0,"Benzoic acid, 4-amino-, magnesium salt (2:1)",,C7H7NO2.1/2Mg,,,,
14103,14931-83-0,"Cobaltate(2-), [[N,N'-1,2-ethanediylbis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON,ON']-, (OC-6-21)-",,C10H12CoN2O8,,,,
14104,14931-84-1,"Nickelate(2-), [[N,N'-1,2-ethanediylbis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON,ON']-, (OC-6-21)-",,C10H12N2NiO8,,,,
14105,14934-37-3,"Benzoxazolium, 3-ethyl-2-[3-(3-ethyl-2(3H)-benzoxazolylidene)-2-methyl-1-propenyl]-, iodide",,C22H23N2O2.I,,,,
14106,14936-67-5,"2-Undecanol, acetate",,C13H26O2,,,,
14107,14937-45-2,"Phosphonium, tributylhexadecyl-, bromide",,C28H60P.Br,,,,
14108,14940-41-1,"Phosphoric acid, iron(2+) salt (2:3)",,Fe.2/3H3O4P,,,,
14109,14940-68-2,Zircon (Zr(SiO4)),,H4O4Si.Zr,,,,
1411,116-85-8,"9,10-Anthracenedione, 1-amino-4-hydroxy-",,C14H9NO3,,,,
14110,14960-06-6,".beta.-Alanine, N-(2-carboxyethyl)-N-dodecyl-, monosodium salt",,C18H35NO4.Na,,,,
14111,14970-39-9,"1H-1,2,4-Triazolium, 5-[[4-(diethylamino)phenyl]azo]-1,4-dimethyl-, trichlorozincate(1-)",,C14H21N6.Cl3Zn,,,,
14112,14971-02-9,"Silanediol, 1,2-ethanediylbis[methyl-, tetraacetate",,C12H22O8Si2,,,,
14113,14977-61-8,"Chromium, dichlorodioxo-",,Cl2CrO2,,,,
14114,14986-84-6,"Tetraphosphoric acid, hexasodium salt",,H6O13P4.6Na,,,,
14115,14987-04-3,"Silicic acid (H4Si3O8), magnesium salt (1:2)",,Mg2O8Si3,,,,
14116,15137-09-4,"Cobaltate(2-), [[N,N'-1,2-ethanediylbis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON,ON']-, disodium, (OC-6-21)-",,C10H12CoN2O8.2Na,,,,
14117,15141-18-1,"Ethanol, 2-[ethyl[3-methyl-4-[2-(5-nitro-2-thiazolyl)diazenyl]phenyl]amino]-, 1-acetate",,C16H19N5O4S,,,,
14118,15142-96-8,"Phosphonic acid, [1,2-ethanediylbis[nitrilobis(methylene)]]tetrakis-, hexasodium salt",,C6H20N2O12P4.6Na,,,,
14119,15145-69-4,"Benzene, 1-chloro-3-(dichloromethyl)-",,C7H5Cl3,,,,
1412,135-79-5,"Quinoline, 6-(1-methylethyl)-",,C12H13N,,,,
14120,15149-10-7,"Ethanol, 2-(4-methylphenoxy)-",,C9H12O2,,,,
14121,15159-40-7,4-Morpholinecarbonyl chloride,,C5H8ClNO2,,,,
14122,15171-48-9,"1,2-Oxaphospholan-5-one, 2-methyl-, 2-oxide",,C4H7O3P,,,,
14123,15184-27-7,"Silane, (3,3-diethoxypropyl)triethoxy-",,C13H30O5Si,,,,
14124,15186-32-0,"Anthra[9,1,2-cde]benzo[rst]pentaphene-5,10-dione,3,12-bis[(9,10-dihydro-9,10-dioxo-1-anthracenyl)amino]-",,C62H30N2O6,,,,
14125,15186-51-3,"Furan, 3-methyl-2-(3-methyl-2-butenyl)-",,C10H14O,,,,
14126,15187-71-0,"Butane, 1,3,3-trichloro-",,C4H7Cl3,,,,
14127,15189-51-2,"Aurate(1-), tetrachloro-, sodium, (SP-4-1)-",,AuCl4.Na,,,,
14128,15201-05-5,"Zincate(2-), tetrachloro-, (T-4)-",,Cl4Zn,,,,
14129,15203-43-7,"Magnesate(3-), [18-carboxy-20-(carboxymethyl)-8-ethenyl-13-ethyl-2,3-dihydro-3,7,12,17-tetramethyl-21H,23H-porphine-2-propanoato(5-)-N21,N22,N23,N24]-, trisodium, [SP-4-2-(2S-trans)]-",,C34H31MgN4O6.3Na,,,,
1413,135-80-8,"2-Naphthalenesulfonic acid, 5,6,7,8-tetrahydro-, sodium salt",,C10H12O3S.Na,,,,
14130,15206-55-0,"Benzeneacetic acid, .alpha.-oxo-, methyl ester",,C9H8O3,,,,
14131,15214-89-8,"1-Propanesulfonic acid, 2-methyl-2-[(1-oxo-2-propenyl)amino]-",,C7H13NO4S,,,,
14132,15233-33-7,"Imidodicarbonimidic diamide, N-(4-methylphenyl)-",,C9H13N5,,,,
14133,15242-96-3,"Chromium, tetrachloro-.mu.-hydroxy[.mu.-(octadecanoato-O:O')]di-",,C18H36Cl4Cr2O3,,,,
14134,15244-10-7,"Sulfuric acid, iron(3+) salt (3:2), hydrate",,Fe.3/2H2O4S.xH2O,,,,
14135,15244-38-9,"Sulfuric acid, chromium(3+) salt (3:2), hydrate",,Cr.3/2H2O4S.xH2O,,,,
14136,15245-44-0,"1,3-Benzenediol, 2,4,6-trinitro-, lead(2+) salt (1:1)",,C6H3N3O8.Pb,,,,
14139,15258-73-8,"Benzenemethanol, 2,6-dichloro-",,C7H6Cl2O,,,,
1414,135-88-6,"2-Naphthalenamine, N-phenyl-",,C16H13N,,,,
14142,15263-86-2,"2-Cyclopenten-1-one, 2-butyl-5-methyl-",,C10H16O,,,,
14143,15267-95-5,"Silane, (chloromethyl)triethoxy-",,C7H17ClO3Si,,,,
14144,15268-40-3,"1,3-Propanediamine, N-docosyl-",,C25H54N2,,,,
14145,15280-31-6,"Benzenediazonium, 4-[ethyl(phenylmethyl)amino]-, (T-4)-tetrachlorozincate(2-) (2:1)",,C15H16N3.1/2Cl4Zn,,,,
14146,15281-91-1,"Cuprate(3-), tetrakis(cyano-C)-, trisodium, (T-4)-",,C4CuN4.3Na,,,,
14147,15284-51-2,"Tetradecanoic acid, calcium salt",,C14H28O2.1/2Ca,,,,
14148,15293-74-0,"Boric acid (HBO2), lithium salt, dihydrate",,BHO2.2H2O.Li,,,,
1415,135-98-8,"Benzene, (1-methylpropyl)-",,C10H14,,,,
14150,15305-07-4,"Aluminium, tris(N-hydroxy-N-nitrosobenzenaminato-O,O')-",,C18H15AlN6O6,,,,
14151,15306-17-9,"Aluminium, tris(ethyl 3-oxobutanoato-O1',O3)-",,C18H27AlO9,,,,
14152,15306-30-6,"Dodecanoic acid, lead salt",,C12H24O2.xPb,,,,
14156,15317-78-9,"Nickel, bis[bis(2-methylpropyl)carbamodithioato-S,S']-, (SP-4-1)-",,C18H36N2NiS4,,,,
14157,15320-26-0,"Aluminate(2-), pentafluoro-, potassium (1:2)",,AlF5.2K,,,,
14158,15323-35-0,"Ethanone, 1-(2,3-dihydro-1,1,2,3,3,6-hexamethyl-1H-inden-5-yl)-",,C17H24O,,,,
14159,15333-24-1,"Zincate(2-), tetrakis(cyano-C)-, disodium, (T-4)-",,C4N4Zn.2Na,,,,
1416,136-23-2,"Zinc, bis(dibutylcarbamodithioato-S,S')-, (T-4)-",,C18H36N2S4Zn,,,,
14160,15336-18-2,"Rhodate(3-), hexachloro-, triammonium, (OC-6-11)-",,Cl6Rh.3H4N,,,,
14161,15336-81-9,"2,4-Imidazolidinedione, 5,5-dimethyl-1,3-bis(oxiranylmethyl)-",,C11H16N2O4,,,,
14162,15336-82-0,"5-Ethyl-1,3-diglycidyl-5-methyl-hydantoin",,C12H18N2O4,,,,
14163,15337-18-5,"Zinc, bis(dipentylcarbamodithioato-S,S')-, (T-4)-",,C22H44N2S4Zn,,,,
14164,15337-60-7,"Dodecanoic acid, barium cadmium salt",,C12H24O2.xBa.xCd,,,,
14165,15340-96-2,"2-Octanol, 3,7-dimethyl-",,C10H22O,,,,
14166,15347-55-4,"9-Octadecenoic acid, lead salt, (Z)-",,C18H34O2.xPb,,,,
14167,15356-60-2,"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, [1S-(1.alpha.,2.beta.,5.alpha.)]-",,C10H20O,,,,
14169,15356-74-8,"2(4H)-Benzofuranone, 5,6,7,7a-tetrahydro-4,4,7a-trimethyl-",,C11H16O2,,,,
1417,136-26-5,"Decanamide, N,N-bis(2-hydroxyethyl)-",,C14H29NO3,,,,
14170,15356-75-9,"3-Buten-2-one, 4-(1-hydroxy-2,2-dimethyl-6-methylenecyclohexyl)-",,C13H20O2,,,,
14171,15373-31-6,"3-Cyclopentene-1-acetonitrile, 2,2,3-trimethyl-",,C10H15N,,,,
14172,15375-84-5,"Manganate(2-), [[N,N'-1,2-ethanediylbis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON,ON']-, disodium, (OC-6-21)-",,C10H12MnN2O8.2Na,,,,
14173,15378-32-2,"Acrylic acid, compound with 2-(dimethylamino)ethanol (1:1)",,C4H11NO.C3H4O2,,,,
14174,15385-57-6,Mercury iodide (Hg2I2),,Hg2I2,,,,
14175,15396-00-6,"Silane, (3-isocyanatopropyl)trimethoxy-",,C7H15NO4Si,,,,
14176,15404-00-9,"Ethanamine, N,N-diethyl-, 4-methylbenzenesulfonate",,C7H8O3S.C6H15N,,,,
14177,15411-19-5,"Silane, dichloromethyl[2(trichlorosilyl)ethyl]-",,C3H7Cl5Si2,,,,
14178,15418-16-3,"Cuprate(4-), [.mu.-[[7,7'-(carbonyldiimino)bis[4-hydroxy-3-[(2-hydroxy-5-sulfophenyl)azo]-2-naphthalenesulfonato]](8-)]]di-, tetrasodium",,C33H16Cu2N6O17S4.4Na,,,,
14179,15420-81-2,"2-Butenedioic acid, (Z)-, monohexyl ester",,C10H16O4,,,,
1418,136-30-1,"Carbamodithioic acid, dibutyl-, sodium salt",,C9H19NS2.Na,,,,
14181,15430-40-7,"1,2-Ethanediamine, N,N'-dioctadecyl-",,C38H80N2,,,,
14182,15432-85-6,"Antimonate (SbO31-), sodium",,Na.O3Sb,,,,
14183,15435-29-7,"Phenol, 2,2'-methylenebis[6-bromo-4-chloro-",,C13H8Br2Cl2O2,,,,
14184,15435-71-9,"2,4-Pentanedione, ion(1-), sodium",,C5H7O2.Na,,,,
14185,15443-06-8,"Copper, bis(1-phenyl-1,3-pentanedionato-O,O')-",,C22H22CuO4,,,,
14186,15448-47-2,"Oxirane, methyl-, (R)-",,C3H6O,,,,
14187,15451-00-0,3-Sulfinobenzoic acid,,C7H6O4S,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
14188,15457-18-8,"Valeronitrile, 2,4'-dimethyl-2,2'-azodi-",,C12H20N4,,,,
14189,15467-06-8,"9-Octadecenoic acid, 12-hydroxy-, monolithium salt, [R-(Z)]-",,C18H34O3.Li,,,,
14190,15469-77-9,3-Decenoic acid,,C10H18O2,,,,
14191,15471-17-7,"Pyridinium, 1-(3-sulfopropyl)-, hydroxide, inner salt",,C8H11NO3S,,,,
14192,15475-67-9,"Phosphonic acid, sodium salt",,H3O3P.xNa,,,,
14193,15475-92-0,"Ethanaminium, N-[4-[[4-(dimethylamino)phenyl]phenylmethylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-, chloride",,C25H29N2.Cl,,,,
14194,15481-68-2,"1,3-Benzenediamine, 2-methyl-, monohydrochloride",,C7H10N2.ClH,,,,
14195,15481-70-6,"1,3-Benzenediamine, 2-methyl-, dihydrochloride",,C7H10N2.2ClH,,,,
14196,15491-89-1,"Diphosphoric acid, dipotassium disodium salt",,H4O7P2.2K.2Na,,,,
14197,15497-96-8,"Benzenesulfonic acid, 4-ethyl-, potassium salt",,C8H10O3S.K,,,,
14198,15498-87-0,"Selenious acid, sodium salt",,H2O3Se.xNa,,,,
14199,15505-13-2,"Phosphoric acid, mono(2-ethylhexyl) ester, disodium salt",,C8H19O4P.2Na,,,,
142,,"Formaldehyde, polymer with Maleic anhydride, Nonylphenol, Pentaerythritol, Petroleum resins and Rosin",,,,,,
1420,136-36-7,"1,3-Benzenediol, monobenzoate",,C13H10O3,,,,
14200,15518-68-0,"Benzenediazonium, 4-(benzoylamino)-2,5-diethoxy-",,C17H18N3O3,,,,
14201,15519-28-5,"Carbonic acid, monocesium salt",,CH2O3.Cs,,,,
14202,15520-10-2,"1,5-Pentanediamine, 2-methyl-",,C6H16N2,,,,
14203,15520-11-3,"Peroxydicarbonic acid, bis[4-(1,1-dimethylethyl)cyclohexyl]ester",,C22H38O6,,,,
14204,15521-60-5,"Phosphonic acid, lead(2+) salt (2:1)",,H3O3P.1/2Pb,,,,
14205,15521-65-0,"Nickel, bis(dimethylcarbamodithioato-S,S')-, (SP-4-1)-",,C6H12N2NiS4,,,,
14206,15525-64-1,"Silver, (2,4-pentanedionato-O,O')-",,C5H7AgO2,,,,
14207,15534-95-9,"2-Imidazolidinethione, 1,3-bis(hydroxymethyl)-",,C5H10N2O2S,,,,
14208,15535-29-2,"Ethanol, 2-amino-, sulfite (2:1) (salt)",,C2H7NO.1/2H2O3S,,,,
14209,15535-79-2,"1,3,2-Oxathiastannolan-5-one, 2,2-dioctyl-",,C18H36O2SSn,,,,
14210,15545-48-9,"Urea, N'-(3-chloro-4-methylphenyl)-N,N-dimethyl-",,C10H13ClN2O,,,,
14211,15546-11-9,"2,7,9-Trioxa-8-stannatrideca-4,11-dien-13-oic acid, 8,8-dibutyl-3,6,10-trioxo-, methyl ester, (Z,Z)-",,C18H28O8Sn,,,,
14212,15546-12-0,"5,7,12-Trioxa-6-stannaoctadeca-2,9-dienoic acid, 6,6-dibutyl-14-ethyl-4,8,11-trioxo-, 2-ethylhexyl ester",,C32H56O8Sn,,,,
14213,15546-16-4,"5,7,12-Trioxa-6-stannahexadeca-2,9-dienoic acid, 6,6-dibutyl-4,8,11-trioxo-, butyl ester, (Z,Z)-",,C24H40O8Sn,,,,
14214,15566-80-0,"9-Octadecenamide, N-[2-[(2-aminoethyl)amino]ethyl]-, (Z)-",,C22H45N3O,,,,
14215,15571-58-1,"8-Oxa-3,5-dithia-4-stannatetradecanoic acid, 10-ethyl-4,4-dioctyl-7-oxo-, 2-ethylhexyl ester",,C36H72O4S2Sn,,,,
14216,15571-60-5,"2-Butenoic acid, 4,4'-[(dioctylstannylene)bis(oxy)]bis[4-oxo-, (Z,Z)-",,C24H40O8Sn,,,,
14217,15574-09-1,"Butanedioic acid, ammonium salt",,C4H6O4.xH3N,,,,
14218,15576-39-3,"1,4-Naphthalenedione, 2-(3-hydroperoxy-3,7,11,15-tetramethyl-1-hexadecenyl)-3-methyl-",,C31H46O4,,,,
14219,15589-64-7,"Isoquinolinium, 2-(3-sulfopropyl)-, hydroxide, inner salt",,C12H13NO3S,,,,
1422,136-44-7,"1,2,3-Propanetriol, 1-(4-aminobenzoate)",,C10H13NO4,,,,
14220,15590-62-2,"Hexanoic acid, 2-ethyl-, lithium salt",,C8H16O2.Li,,,,
14221,15591-90-9,"Spiro[1,3-dioxolane-2,5'-4,7-methano(5H)indene], octahydro-, (3'a.alpha.,4'.alpha.,7'.alpha.,7'a.alpha.)-",,C12H18O2,,,,
14222,15593-75-6,"Antimonate (SbO43-), trisodium, (T-4)-",,Na.1/3O4Sb,,,,
14223,15593-82-5,"Silicic acid (H6Si2O7), hexasodium salt",,H6O7Si2.6Na,,,,
14224,15593-88-1,"1-Propen-1-ol, 2-(4-methyl-3-cyclohexen-1-yl)-, acetate",,C12H18O2,,,,
14225,15595-91-2,"Boron, (cyclohexanamine)trifluoro-, (T-4)-",,C6H13BF3N,,,,
14226,15602-15-0,"Hexanoic acid, 2-ethyl-, magnesium salt",,C8H16O2.1/2Mg,,,,
14227,15610-76-1,"Cuprate(2-), tetrachloro-, diammonium",,Cl4Cu.2H4N,,,,
14228,15619-48-4,"Quinolinium, 1-(phenylmethyl)-, chloride",,C16H14N.Cl,,,,
14229,15625-89-5,"2-Propenoic acid, 2-ethyl-2-[[(1-oxo-2-propenyl)oxy]methyl]-1,3-propanediyl ester",,C15H20O6,,,,
1423,136-45-8,"2,5-Pyridinedicarboxylic acid, dipropyl ester",,C13H17NO4,,,,
14230,15629-83-1,"Aluminium, (ethyl-3-oxobutanoato-O1',O3)bis(2-methyl-1-propanolato)-, (T-4)-",,C14H27AlO5,,,,
14231,15630-89-4,"Carbonic acid sodium salt (1:2), compd. with hydrogen peroxide (H2O2) (2:3)",,CH2O3.3/2H2O2.2Na,,,,
14232,15646-46-5,"5(4H)Oxazolone, 4-(ethoxymethylene)-2-phenyl",,C12H11NO3,,,,
